metric	value
mean_p_correct	0.5011525923583858
min_p_correct	0.35429266620942973
max_p_correct	0.6848489573193318
rmse_avg	0.287448604011037
obj1_top	0.5546298460862747
obj1_bottom	0.46548843814781715
obj1_delta_bottom_vs_top	-0.0891414079384576
obj2_top	0.41106303303305874
obj2_bottom	0.6086975024437924
obj2_delta_bottom_vs_top	0.19763446941073365
obj1_right	0.49729646769954067
obj1_left	0.4821939523824351
obj1_delta_left_vs_right	-0.015102515317105547
obj2_right	0.4791384604583472
obj2_left	0.5034422880030051
obj2_delta_left_vs_right	0.024303827544657874
o1top_o2bot	0.6419548871150924
o1bot_o2top	0.37685690202154976
delta_o1top_o2bot_vs_o1bot_o2top	0.26509798509354265
