model_path,text,image,Yes_logit,No_logit
/app/DATA/data_scale_exp_2m/unshared,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h11/0000.png,-10.222904205322266,-10.306706428527832
/app/DATA/data_scale_exp_2m/unshared,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h11/0001.png,-9.559417724609375,-10.261765480041504
/app/DATA/data_scale_exp_2m/unshared,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h11/0002.png,-9.468657493591309,-10.26505184173584
/app/DATA/data_scale_exp_2m/unshared,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h11/0003.png,-9.054421424865723,-10.376814842224121
/app/DATA/data_scale_exp_2m/unshared,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h11/0004.png,-9.009264945983887,-10.286297798156738
/app/DATA/data_scale_exp_2m/unshared,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h11/0005.png,-9.067558288574219,-10.19937515258789
/app/DATA/data_scale_exp_2m/unshared,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h11/0006.png,-9.180423736572266,-10.047274589538574
/app/DATA/data_scale_exp_2m/unshared,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h11/0007.png,-9.380041122436523,-9.974851608276367
/app/DATA/data_scale_exp_2m/unshared,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h11/0008.png,-9.925853729248047,-9.979177474975586
/app/DATA/data_scale_exp_2m/unshared,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h11/0009.png,-10.4307861328125,-10.08513355255127
/app/DATA/data_scale_exp_2m/unshared,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h11/0010.png,-10.700287818908691,-10.33461856842041
/app/DATA/data_scale_exp_2m/unshared,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h11/0011.png,-10.362536430358887,-10.262248039245605
/app/DATA/data_scale_exp_2m/unshared,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h11/0012.png,-10.17632007598877,-10.216946601867676
/app/DATA/data_scale_exp_2m/unshared,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h11/0013.png,-10.501184463500977,-10.278305053710938
