model_path,variant,image,question,ground_truth,prediction,Yes_logit,No_logit,correct
/app/qwen/models/400k/checkpoint-6250,obj1_farther,output/phasevar_5/0000_phA00_phB00.png,Is the cyan cube farther from the viewer than the green sphere? Answer with yes or no.,Yes,No,27.125,27.375,False
/app/qwen/models/400k/checkpoint-6250,obj1_farther,output/phasevar_5/0000_phA00_phB01.png,Is the cyan cube farther from the viewer than the green sphere? Answer with yes or no.,Yes,No,27.25,27.625,False
/app/qwen/models/400k/checkpoint-6250,obj1_farther,output/phasevar_5/0000_phA00_phB02.png,Is the cyan cube farther from the viewer than the green sphere? Answer with yes or no.,Yes,No,27.5,27.875,False
/app/qwen/models/400k/checkpoint-6250,obj1_farther,output/phasevar_5/0000_phA00_phB03.png,Is the cyan cube farther from the viewer than the green sphere? Answer with yes or no.,Yes,No,27.25,27.625,False
/app/qwen/models/400k/checkpoint-6250,obj1_farther,output/phasevar_5/0000_phA00_phB04.png,Is the cyan cube farther from the viewer than the green sphere? Answer with yes or no.,Yes,No,27.375,27.625,False
/app/qwen/models/400k/checkpoint-6250,obj1_farther,output/phasevar_5/0000_phA00_phB05.png,Is the cyan cube farther from the viewer than the green sphere? Answer with yes or no.,Yes,No,27.625,27.75,False
/app/qwen/models/400k/checkpoint-6250,obj1_farther,output/phasevar_5/0000_phA00_phB06.png,Is the cyan cube farther from the viewer than the green sphere? Answer with yes or no.,Yes,Yes,27.5,27.125,True
/app/qwen/models/400k/checkpoint-6250,obj1_farther,output/phasevar_5/0000_phA00_phB07.png,Is the cyan cube farther from the viewer than the green sphere? Answer with yes or no.,Yes,Yes,27.875,27.375,True
/app/qwen/models/400k/checkpoint-6250,obj1_farther,output/phasevar_5/0000_phA00_phB08.png,Is the cyan cube farther from the viewer than the green sphere? Answer with yes or no.,Yes,Yes,27.75,27.125,True
/app/qwen/models/400k/checkpoint-6250,obj1_farther,output/phasevar_5/0000_phA00_phB09.png,Is the cyan cube farther from the viewer than the green sphere? Answer with yes or no.,Yes,Yes,28.0,27.125,True
/app/qwen/models/400k/checkpoint-6250,obj1_farther,output/phasevar_5/0000_phA00_phB10.png,Is the cyan cube farther from the viewer than the green sphere? Answer with yes or no.,Yes,Yes,27.625,26.875,True
/app/qwen/models/400k/checkpoint-6250,obj1_farther,output/phasevar_5/0000_phA00_phB11.png,Is the cyan cube farther from the viewer than the green sphere? Answer with yes or no.,Yes,Yes,28.0,27.0,True
/app/qwen/models/400k/checkpoint-6250,obj1_farther,output/phasevar_5/0000_phA00_phB12.png,Is the cyan cube farther from the viewer than the green sphere? Answer with yes or no.,Yes,Yes,27.625,27.125,True
/app/qwen/models/400k/checkpoint-6250,obj1_farther,output/phasevar_5/0000_phA00_phB13.png,Is the cyan cube farther from the viewer than the green sphere? Answer with yes or no.,Yes,Yes,27.5,26.75,True
/app/qwen/models/400k/checkpoint-6250,obj1_farther,output/phasevar_5/0000_phA00_phB14.png,Is the cyan cube farther from the viewer than the green sphere? Answer with yes or no.,Yes,Yes,27.375,27.0,True
/app/qwen/models/400k/checkpoint-6250,obj1_farther,output/phasevar_5/0000_phA00_phB15.png,Is the cyan cube farther from the viewer than the green sphere? Answer with yes or no.,Yes,No,27.375,27.375,False
/app/qwen/models/400k/checkpoint-6250,obj1_farther,output/phasevar_5/0000_phA01_phB00.png,Is the cyan cube farther from the viewer than the green sphere? Answer with yes or no.,Yes,Yes,27.375,27.25,True
/app/qwen/models/400k/checkpoint-6250,obj1_farther,output/phasevar_5/0000_phA01_phB01.png,Is the cyan cube farther from the viewer than the green sphere? Answer with yes or no.,Yes,No,27.375,27.5,False
/app/qwen/models/400k/checkpoint-6250,obj1_farther,output/phasevar_5/0000_phA01_phB02.png,Is the cyan cube farther from the viewer than the green sphere? Answer with yes or no.,Yes,No,27.375,27.75,False
/app/qwen/models/400k/checkpoint-6250,obj1_farther,output/phasevar_5/0000_phA01_phB03.png,Is the cyan cube farther from the viewer than the green sphere? Answer with yes or no.,Yes,No,27.375,27.625,False
