model_path,variant,image,question,ground_truth,prediction,A_logit,B_logit,correct
/app/DATA/data_scale_exp_80k/unshared,obj1_closer,output/phasevar_3/0/0000_phA00_phB00.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-10.064552307128906,-9.778964042663574,True
/app/DATA/data_scale_exp_80k/unshared,obj1_closer,output/phasevar_3/0/0000_phA00_phB01.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-10.051403045654297,-9.750407218933105,True
/app/DATA/data_scale_exp_80k/unshared,obj1_closer,output/phasevar_3/0/0000_phA00_phB02.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-10.081534385681152,-9.765517234802246,True
/app/DATA/data_scale_exp_80k/unshared,obj1_closer,output/phasevar_3/0/0000_phA00_phB03.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-10.089547157287598,-9.77750301361084,True
/app/DATA/data_scale_exp_80k/unshared,obj1_closer,output/phasevar_3/0/0000_phA00_phB04.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-10.09549617767334,-9.785102844238281,True
/app/DATA/data_scale_exp_80k/unshared,obj1_closer,output/phasevar_3/0/0000_phA00_phB05.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-10.101534843444824,-9.789609909057617,True
/app/DATA/data_scale_exp_80k/unshared,obj1_closer,output/phasevar_3/0/0000_phA00_phB06.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-10.087469100952148,-9.771971702575684,True
/app/DATA/data_scale_exp_80k/unshared,obj1_closer,output/phasevar_3/0/0000_phA00_phB07.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-10.050215721130371,-9.724370956420898,True
/app/DATA/data_scale_exp_80k/unshared,obj1_closer,output/phasevar_3/0/0000_phA00_phB08.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-10.021513938903809,-9.685649871826172,True
/app/DATA/data_scale_exp_80k/unshared,obj1_closer,output/phasevar_3/0/0000_phA00_phB09.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-10.049453735351562,-9.729765892028809,True
/app/DATA/data_scale_exp_80k/unshared,obj1_closer,output/phasevar_3/0/0000_phA00_phB10.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-10.08195686340332,-9.785663604736328,True
/app/DATA/data_scale_exp_80k/unshared,obj1_closer,output/phasevar_3/0/0000_phA00_phB11.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-10.09292984008789,-9.787579536437988,True
/app/DATA/data_scale_exp_80k/unshared,obj1_closer,output/phasevar_3/0/0000_phA00_phB12.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-10.096841812133789,-9.796388626098633,True
/app/DATA/data_scale_exp_80k/unshared,obj1_closer,output/phasevar_3/0/0000_phA00_phB13.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-10.099265098571777,-9.811538696289062,True
/app/DATA/data_scale_exp_80k/unshared,obj1_closer,output/phasevar_3/0/0000_phA00_phB14.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-10.104825973510742,-9.83174991607666,True
/app/DATA/data_scale_exp_80k/unshared,obj1_closer,output/phasevar_3/0/0000_phA00_phB15.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-10.055691719055176,-9.75834846496582,True
/app/DATA/data_scale_exp_80k/unshared,obj1_closer,output/phasevar_3/0/0000_phA01_phB00.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-10.03727912902832,-9.732065200805664,True
/app/DATA/data_scale_exp_80k/unshared,obj1_closer,output/phasevar_3/0/0000_phA01_phB01.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-10.037455558776855,-9.723875999450684,True
/app/DATA/data_scale_exp_80k/unshared,obj1_closer,output/phasevar_3/0/0000_phA01_phB02.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-10.046364784240723,-9.717862129211426,True
/app/DATA/data_scale_exp_80k/unshared,obj1_closer,output/phasevar_3/0/0000_phA01_phB03.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-10.077000617980957,-9.755681037902832,True
/app/DATA/data_scale_exp_80k/unshared,obj1_closer,output/phasevar_3/0/0000_phA01_phB04.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-10.077853202819824,-9.75681209564209,True
/app/DATA/data_scale_exp_80k/unshared,obj1_closer,output/phasevar_3/0/0000_phA01_phB05.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-10.081850051879883,-9.753992080688477,True
/app/DATA/data_scale_exp_80k/unshared,obj1_closer,output/phasevar_3/0/0000_phA01_phB06.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-10.063179016113281,-9.728271484375,True
/app/DATA/data_scale_exp_80k/unshared,obj1_closer,output/phasevar_3/0/0000_phA01_phB07.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-10.017285346984863,-9.663984298706055,True
/app/DATA/data_scale_exp_80k/unshared,obj1_closer,output/phasevar_3/0/0000_phA01_phB08.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-10.011244773864746,-9.665963172912598,True
/app/DATA/data_scale_exp_80k/unshared,obj1_closer,output/phasevar_3/0/0000_phA01_phB09.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-10.037562370300293,-9.7064208984375,True
/app/DATA/data_scale_exp_80k/unshared,obj1_closer,output/phasevar_3/0/0000_phA01_phB10.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-10.085147857666016,-9.779509544372559,True
/app/DATA/data_scale_exp_80k/unshared,obj1_closer,output/phasevar_3/0/0000_phA01_phB11.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-10.078598022460938,-9.767342567443848,True
/app/DATA/data_scale_exp_80k/unshared,obj1_closer,output/phasevar_3/0/0000_phA01_phB12.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-10.105250358581543,-9.797039031982422,True
/app/DATA/data_scale_exp_80k/unshared,obj1_closer,output/phasevar_3/0/0000_phA01_phB13.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-10.09215259552002,-9.796818733215332,True
/app/DATA/data_scale_exp_80k/unshared,obj1_closer,output/phasevar_3/0/0000_phA01_phB14.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-10.070770263671875,-9.782010078430176,True
/app/DATA/data_scale_exp_80k/unshared,obj1_closer,output/phasevar_3/0/0000_phA01_phB15.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-10.056731224060059,-9.749155044555664,True
/app/DATA/data_scale_exp_80k/unshared,obj1_closer,output/phasevar_3/0/0000_phA02_phB00.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-10.060967445373535,-9.754066467285156,True
/app/DATA/data_scale_exp_80k/unshared,obj1_closer,output/phasevar_3/0/0000_phA02_phB01.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-10.02117919921875,-9.705887794494629,True
/app/DATA/data_scale_exp_80k/unshared,obj1_closer,output/phasevar_3/0/0000_phA02_phB02.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-10.046525955200195,-9.719208717346191,True
/app/DATA/data_scale_exp_80k/unshared,obj1_closer,output/phasevar_3/0/0000_phA02_phB03.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-10.05098819732666,-9.713462829589844,True
/app/DATA/data_scale_exp_80k/unshared,obj1_closer,output/phasevar_3/0/0000_phA02_phB04.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-10.092093467712402,-9.768725395202637,True
