model_path,variant,image,question,ground_truth,prediction,Yes_logit,No_logit,correct
allenai/Molmo-7B-O-0924,obj1_closer,output/phasevar/0/0000_phA00_phB00.png,Is the blue cube closer to the camera than the magenta sphere? Answer with yes or no.,No,No,-10.954867362976074,-9.138513565063477,True
allenai/Molmo-7B-O-0924,obj1_closer,output/phasevar/0/0000_phA00_phB01.png,Is the blue cube closer to the camera than the magenta sphere? Answer with yes or no.,No,No,-10.931486129760742,-9.201401710510254,True
allenai/Molmo-7B-O-0924,obj1_closer,output/phasevar/0/0000_phA00_phB02.png,Is the blue cube closer to the camera than the magenta sphere? Answer with yes or no.,No,No,-10.862348556518555,-9.187670707702637,True
allenai/Molmo-7B-O-0924,obj1_closer,output/phasevar/0/0000_phA00_phB03.png,Is the blue cube closer to the camera than the magenta sphere? Answer with yes or no.,No,No,-10.748297691345215,-9.18052864074707,True
allenai/Molmo-7B-O-0924,obj1_closer,output/phasevar/0/0000_phA00_phB04.png,Is the blue cube closer to the camera than the magenta sphere? Answer with yes or no.,No,No,-10.736786842346191,-9.156150817871094,True
allenai/Molmo-7B-O-0924,obj1_closer,output/phasevar/0/0000_phA00_phB05.png,Is the blue cube closer to the camera than the magenta sphere? Answer with yes or no.,No,No,-10.78210163116455,-9.191201210021973,True
allenai/Molmo-7B-O-0924,obj1_closer,output/phasevar/0/0000_phA00_phB06.png,Is the blue cube closer to the camera than the magenta sphere? Answer with yes or no.,No,No,-10.993858337402344,-9.257033348083496,True
allenai/Molmo-7B-O-0924,obj1_closer,output/phasevar/0/0000_phA00_phB07.png,Is the blue cube closer to the camera than the magenta sphere? Answer with yes or no.,No,No,-11.125080108642578,-9.362582206726074,True
allenai/Molmo-7B-O-0924,obj1_closer,output/phasevar/0/0000_phA00_phB08.png,Is the blue cube closer to the camera than the magenta sphere? Answer with yes or no.,No,No,-11.25121021270752,-9.370908737182617,True
allenai/Molmo-7B-O-0924,obj1_closer,output/phasevar/0/0000_phA00_phB09.png,Is the blue cube closer to the camera than the magenta sphere? Answer with yes or no.,No,No,-11.289912223815918,-9.349761962890625,True
