model_path,image,question,ground_truth,prediction,Yes_logit,No_logit,correct
/app/DATA/data_scale_exp_400k/unshared,output/phasevar/0/0000_phA00_phB00.png,Is the blue cube closer to the camera than the magenta sphere? Answer with yes or no.,No,Yes,-8.90158748626709,-9.177251815795898,False
/app/DATA/data_scale_exp_400k/unshared,output/phasevar/0/0000_phA00_phB01.png,Is the blue cube closer to the camera than the magenta sphere? Answer with yes or no.,No,Yes,-8.774612426757812,-9.69221019744873,False
/app/DATA/data_scale_exp_400k/unshared,output/phasevar/0/0000_phA00_phB02.png,Is the blue cube closer to the camera than the magenta sphere? Answer with yes or no.,No,Yes,-8.686174392700195,-9.748191833496094,False
/app/DATA/data_scale_exp_400k/unshared,output/phasevar/0/0000_phA00_phB03.png,Is the blue cube closer to the camera than the magenta sphere? Answer with yes or no.,No,Yes,-8.669746398925781,-9.834488868713379,False
/app/DATA/data_scale_exp_400k/unshared,output/phasevar/0/0000_phA00_phB04.png,Is the blue cube closer to the camera than the magenta sphere? Answer with yes or no.,No,Yes,-8.672833442687988,-9.761893272399902,False
/app/DATA/data_scale_exp_400k/unshared,output/phasevar/0/0000_phA00_phB05.png,Is the blue cube closer to the camera than the magenta sphere? Answer with yes or no.,No,Yes,-8.66360092163086,-9.855300903320312,False
/app/DATA/data_scale_exp_400k/unshared,output/phasevar/0/0000_phA00_phB06.png,Is the blue cube closer to the camera than the magenta sphere? Answer with yes or no.,No,Yes,-8.642791748046875,-9.83488941192627,False
/app/DATA/data_scale_exp_400k/unshared,output/phasevar/0/0000_phA00_phB07.png,Is the blue cube closer to the camera than the magenta sphere? Answer with yes or no.,No,Yes,-8.740875244140625,-9.628710746765137,False
/app/DATA/data_scale_exp_400k/unshared,output/phasevar/0/0000_phA00_phB08.png,Is the blue cube closer to the camera than the magenta sphere? Answer with yes or no.,No,Yes,-8.781423568725586,-9.439817428588867,False
/app/DATA/data_scale_exp_400k/unshared,output/phasevar/0/0000_phA00_phB09.png,Is the blue cube closer to the camera than the magenta sphere? Answer with yes or no.,No,Yes,-8.920806884765625,-9.308123588562012,False
/app/DATA/data_scale_exp_400k/unshared,output/phasevar/0/0000_phA00_phB10.png,Is the blue cube closer to the camera than the magenta sphere? Answer with yes or no.,No,Yes,-8.923714637756348,-9.248200416564941,False
/app/DATA/data_scale_exp_400k/unshared,output/phasevar/0/0000_phA00_phB11.png,Is the blue cube closer to the camera than the magenta sphere? Answer with yes or no.,No,Yes,-8.936144828796387,-9.282429695129395,False
/app/DATA/data_scale_exp_400k/unshared,output/phasevar/0/0000_phA00_phB12.png,Is the blue cube closer to the camera than the magenta sphere? Answer with yes or no.,No,Yes,-8.976152420043945,-9.155050277709961,False
/app/DATA/data_scale_exp_400k/unshared,output/phasevar/0/0000_phA00_phB13.png,Is the blue cube closer to the camera than the magenta sphere? Answer with yes or no.,No,No,-9.025433540344238,-8.968223571777344,True
/app/DATA/data_scale_exp_400k/unshared,output/phasevar/0/0000_phA00_phB14.png,Is the blue cube closer to the camera than the magenta sphere? Answer with yes or no.,No,No,-8.982114791870117,-8.981598854064941,True
/app/DATA/data_scale_exp_400k/unshared,output/phasevar/0/0000_phA00_phB15.png,Is the blue cube closer to the camera than the magenta sphere? Answer with yes or no.,No,Yes,-8.979875564575195,-9.003989219665527,False
/app/DATA/data_scale_exp_400k/unshared,output/phasevar/0/0000_phA01_phB00.png,Is the blue cube closer to the camera than the magenta sphere? Answer with yes or no.,No,Yes,-8.940766334533691,-9.09314250946045,False
/app/DATA/data_scale_exp_400k/unshared,output/phasevar/0/0000_phA01_phB01.png,Is the blue cube closer to the camera than the magenta sphere? Answer with yes or no.,No,Yes,-8.84750747680664,-9.551084518432617,False
/app/DATA/data_scale_exp_400k/unshared,output/phasevar/0/0000_phA01_phB02.png,Is the blue cube closer to the camera than the magenta sphere? Answer with yes or no.,No,Yes,-8.75629997253418,-9.62446117401123,False
/app/DATA/data_scale_exp_400k/unshared,output/phasevar/0/0000_phA01_phB03.png,Is the blue cube closer to the camera than the magenta sphere? Answer with yes or no.,No,Yes,-8.689446449279785,-9.776865005493164,False
/app/DATA/data_scale_exp_400k/unshared,output/phasevar/0/0000_phA01_phB04.png,Is the blue cube closer to the camera than the magenta sphere? Answer with yes or no.,No,Yes,-8.675214767456055,-9.74182415008545,False
/app/DATA/data_scale_exp_400k/unshared,output/phasevar/0/0000_phA01_phB05.png,Is the blue cube closer to the camera than the magenta sphere? Answer with yes or no.,No,Yes,-8.681863784790039,-9.860671043395996,False
/app/DATA/data_scale_exp_400k/unshared,output/phasevar/0/0000_phA01_phB06.png,Is the blue cube closer to the camera than the magenta sphere? Answer with yes or no.,No,Yes,-8.668149948120117,-9.831838607788086,False
/app/DATA/data_scale_exp_400k/unshared,output/phasevar/0/0000_phA01_phB07.png,Is the blue cube closer to the camera than the magenta sphere? Answer with yes or no.,No,Yes,-8.772064208984375,-9.572421073913574,False
/app/DATA/data_scale_exp_400k/unshared,output/phasevar/0/0000_phA01_phB08.png,Is the blue cube closer to the camera than the magenta sphere? Answer with yes or no.,No,Yes,-8.846138954162598,-9.342460632324219,False
/app/DATA/data_scale_exp_400k/unshared,output/phasevar/0/0000_phA01_phB09.png,Is the blue cube closer to the camera than the magenta sphere? Answer with yes or no.,No,Yes,-8.942863464355469,-9.277801513671875,False
/app/DATA/data_scale_exp_400k/unshared,output/phasevar/0/0000_phA01_phB10.png,Is the blue cube closer to the camera than the magenta sphere? Answer with yes or no.,No,Yes,-8.972981452941895,-9.250267028808594,False
/app/DATA/data_scale_exp_400k/unshared,output/phasevar/0/0000_phA01_phB11.png,Is the blue cube closer to the camera than the magenta sphere? Answer with yes or no.,No,Yes,-8.973569869995117,-9.257026672363281,False
/app/DATA/data_scale_exp_400k/unshared,output/phasevar/0/0000_phA01_phB12.png,Is the blue cube closer to the camera than the magenta sphere? Answer with yes or no.,No,Yes,-8.991019248962402,-9.241127967834473,False
/app/DATA/data_scale_exp_400k/unshared,output/phasevar/0/0000_phA01_phB13.png,Is the blue cube closer to the camera than the magenta sphere? Answer with yes or no.,No,Yes,-9.030872344970703,-9.047652244567871,False
/app/DATA/data_scale_exp_400k/unshared,output/phasevar/0/0000_phA01_phB14.png,Is the blue cube closer to the camera than the magenta sphere? Answer with yes or no.,No,Yes,-8.991772651672363,-9.051694869995117,False
/app/DATA/data_scale_exp_400k/unshared,output/phasevar/0/0000_phA01_phB15.png,Is the blue cube closer to the camera than the magenta sphere? Answer with yes or no.,No,Yes,-9.043418884277344,-9.054130554199219,False
/app/DATA/data_scale_exp_400k/unshared,output/phasevar/0/0000_phA02_phB00.png,Is the blue cube closer to the camera than the magenta sphere? Answer with yes or no.,No,No,-8.952940940856934,-8.934745788574219,True
