model_path,variant,image,question,ground_truth,prediction,Yes_logit,No_logit,correct
/app/DATA/data_scale_exp_400k/unshared,obj2_closer,output/phasevar_4/0/0000_phA00_phB00.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,Yes,-8.463628768920898,-11.063332557678223,True
/app/DATA/data_scale_exp_400k/unshared,obj2_closer,output/phasevar_4/0/0000_phA00_phB01.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,Yes,-8.491056442260742,-10.43890380859375,True
/app/DATA/data_scale_exp_400k/unshared,obj2_closer,output/phasevar_4/0/0000_phA00_phB02.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,Yes,-8.459856986999512,-10.34448528289795,True
/app/DATA/data_scale_exp_400k/unshared,obj2_closer,output/phasevar_4/0/0000_phA00_phB03.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,Yes,-8.537532806396484,-10.31231689453125,True
/app/DATA/data_scale_exp_400k/unshared,obj2_closer,output/phasevar_4/0/0000_phA00_phB04.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,Yes,-8.601178169250488,-10.516273498535156,True
/app/DATA/data_scale_exp_400k/unshared,obj2_closer,output/phasevar_4/0/0000_phA00_phB05.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,Yes,-8.622468948364258,-10.700362205505371,True
/app/DATA/data_scale_exp_400k/unshared,obj2_closer,output/phasevar_4/0/0000_phA00_phB06.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,Yes,-8.583207130432129,-10.833772659301758,True
/app/DATA/data_scale_exp_400k/unshared,obj2_closer,output/phasevar_4/0/0000_phA00_phB07.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,Yes,-8.620829582214355,-10.893576622009277,True
/app/DATA/data_scale_exp_400k/unshared,obj2_closer,output/phasevar_4/0/0000_phA00_phB08.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,Yes,-8.682159423828125,-11.526640892028809,True
/app/DATA/data_scale_exp_400k/unshared,obj2_closer,output/phasevar_4/0/0000_phA00_phB09.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,Yes,-8.703574180603027,-11.87667179107666,True
/app/DATA/data_scale_exp_400k/unshared,obj2_closer,output/phasevar_4/0/0000_phA00_phB10.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,Yes,-8.668004989624023,-12.140650749206543,True
/app/DATA/data_scale_exp_400k/unshared,obj2_closer,output/phasevar_4/0/0000_phA00_phB11.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,Yes,-8.81304931640625,-12.900992393493652,True
/app/DATA/data_scale_exp_400k/unshared,obj2_closer,output/phasevar_4/0/0000_phA00_phB12.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,Yes,-8.70309066772461,-12.244465827941895,True
/app/DATA/data_scale_exp_400k/unshared,obj2_closer,output/phasevar_4/0/0000_phA00_phB13.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,Yes,-8.64629077911377,-12.332793235778809,True
/app/DATA/data_scale_exp_400k/unshared,obj2_closer,output/phasevar_4/0/0000_phA00_phB14.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,Yes,-8.501700401306152,-11.884016036987305,True
/app/DATA/data_scale_exp_400k/unshared,obj2_closer,output/phasevar_4/0/0000_phA00_phB15.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,Yes,-8.518773078918457,-11.440937042236328,True
/app/DATA/data_scale_exp_400k/unshared,obj2_closer,output/phasevar_4/0/0000_phA01_phB00.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,Yes,-8.504441261291504,-11.402314186096191,True
/app/DATA/data_scale_exp_400k/unshared,obj2_closer,output/phasevar_4/0/0000_phA01_phB01.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,Yes,-8.430519104003906,-10.528600692749023,True
/app/DATA/data_scale_exp_400k/unshared,obj2_closer,output/phasevar_4/0/0000_phA01_phB02.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,Yes,-8.42429256439209,-10.677807807922363,True
/app/DATA/data_scale_exp_400k/unshared,obj2_closer,output/phasevar_4/0/0000_phA01_phB03.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,Yes,-8.513708114624023,-10.64928150177002,True
/app/DATA/data_scale_exp_400k/unshared,obj2_closer,output/phasevar_4/0/0000_phA01_phB04.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,Yes,-8.563188552856445,-10.807846069335938,True
/app/DATA/data_scale_exp_400k/unshared,obj2_closer,output/phasevar_4/0/0000_phA01_phB05.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,Yes,-8.614130973815918,-10.978952407836914,True
/app/DATA/data_scale_exp_400k/unshared,obj2_closer,output/phasevar_4/0/0000_phA01_phB06.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,Yes,-8.562756538391113,-11.033499717712402,True
/app/DATA/data_scale_exp_400k/unshared,obj2_closer,output/phasevar_4/0/0000_phA01_phB07.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,Yes,-8.611603736877441,-11.042375564575195,True
/app/DATA/data_scale_exp_400k/unshared,obj2_closer,output/phasevar_4/0/0000_phA01_phB08.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,Yes,-8.685745239257812,-11.708829879760742,True
/app/DATA/data_scale_exp_400k/unshared,obj2_closer,output/phasevar_4/0/0000_phA01_phB09.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,Yes,-8.694903373718262,-11.818355560302734,True
/app/DATA/data_scale_exp_400k/unshared,obj2_closer,output/phasevar_4/0/0000_phA01_phB10.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,Yes,-8.669554710388184,-12.099503517150879,True
/app/DATA/data_scale_exp_400k/unshared,obj2_closer,output/phasevar_4/0/0000_phA01_phB11.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,Yes,-8.772127151489258,-12.68383502960205,True
/app/DATA/data_scale_exp_400k/unshared,obj2_closer,output/phasevar_4/0/0000_phA01_phB12.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,Yes,-8.701086044311523,-12.307257652282715,True
/app/DATA/data_scale_exp_400k/unshared,obj2_closer,output/phasevar_4/0/0000_phA01_phB13.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,Yes,-8.650728225708008,-12.318743705749512,True
/app/DATA/data_scale_exp_400k/unshared,obj2_closer,output/phasevar_4/0/0000_phA01_phB14.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,Yes,-8.512004852294922,-11.857895851135254,True
/app/DATA/data_scale_exp_400k/unshared,obj2_closer,output/phasevar_4/0/0000_phA01_phB15.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,Yes,-8.529247283935547,-11.520686149597168,True
/app/DATA/data_scale_exp_400k/unshared,obj2_closer,output/phasevar_4/0/0000_phA02_phB00.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,Yes,-8.472748756408691,-11.146833419799805,True
/app/DATA/data_scale_exp_400k/unshared,obj2_closer,output/phasevar_4/0/0000_phA02_phB01.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,Yes,-8.391767501831055,-10.524515151977539,True
/app/DATA/data_scale_exp_400k/unshared,obj2_closer,output/phasevar_4/0/0000_phA02_phB02.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,Yes,-8.393987655639648,-10.46945571899414,True
/app/DATA/data_scale_exp_400k/unshared,obj2_closer,output/phasevar_4/0/0000_phA02_phB03.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,Yes,-8.469269752502441,-10.637418746948242,True
/app/DATA/data_scale_exp_400k/unshared,obj2_closer,output/phasevar_4/0/0000_phA02_phB04.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,Yes,-8.517461776733398,-10.74180793762207,True
/app/DATA/data_scale_exp_400k/unshared,obj2_closer,output/phasevar_4/0/0000_phA02_phB05.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,Yes,-8.59633731842041,-10.924521446228027,True
