model_path,variant,image,question,ground_truth,prediction,Yes_logit,No_logit,correct
/app/qwen/models/2m/checkpoint-31252,obj2_closer,output/phasevar_5/0000_phA00_phB00.png,Is the green sphere closer to the viewer than the cyan cube? Answer with yes or no.,Yes,Yes,34.25,29.25,True
/app/qwen/models/2m/checkpoint-31252,obj2_closer,output/phasevar_5/0000_phA00_phB01.png,Is the green sphere closer to the viewer than the cyan cube? Answer with yes or no.,Yes,Yes,33.0,29.875,True
/app/qwen/models/2m/checkpoint-31252,obj2_closer,output/phasevar_5/0000_phA00_phB02.png,Is the green sphere closer to the viewer than the cyan cube? Answer with yes or no.,Yes,Yes,32.25,29.5,True
/app/qwen/models/2m/checkpoint-31252,obj2_closer,output/phasevar_5/0000_phA00_phB03.png,Is the green sphere closer to the viewer than the cyan cube? Answer with yes or no.,Yes,Yes,30.75,30.375,True
/app/qwen/models/2m/checkpoint-31252,obj2_closer,output/phasevar_5/0000_phA00_phB04.png,Is the green sphere closer to the viewer than the cyan cube? Answer with yes or no.,Yes,Yes,30.375,29.75,True
/app/qwen/models/2m/checkpoint-31252,obj2_closer,output/phasevar_5/0000_phA00_phB05.png,Is the green sphere closer to the viewer than the cyan cube? Answer with yes or no.,Yes,Yes,31.125,30.5,True
/app/qwen/models/2m/checkpoint-31252,obj2_closer,output/phasevar_5/0000_phA00_phB06.png,Is the green sphere closer to the viewer than the cyan cube? Answer with yes or no.,Yes,Yes,32.25,29.125,True
/app/qwen/models/2m/checkpoint-31252,obj2_closer,output/phasevar_5/0000_phA00_phB07.png,Is the green sphere closer to the viewer than the cyan cube? Answer with yes or no.,Yes,Yes,35.0,29.125,True
/app/qwen/models/2m/checkpoint-31252,obj2_closer,output/phasevar_5/0000_phA00_phB08.png,Is the green sphere closer to the viewer than the cyan cube? Answer with yes or no.,Yes,Yes,35.75,29.25,True
/app/qwen/models/2m/checkpoint-31252,obj2_closer,output/phasevar_5/0000_phA00_phB09.png,Is the green sphere closer to the viewer than the cyan cube? Answer with yes or no.,Yes,Yes,37.0,29.0,True
/app/qwen/models/2m/checkpoint-31252,obj2_closer,output/phasevar_5/0000_phA00_phB10.png,Is the green sphere closer to the viewer than the cyan cube? Answer with yes or no.,Yes,Yes,37.5,29.125,True
/app/qwen/models/2m/checkpoint-31252,obj2_closer,output/phasevar_5/0000_phA00_phB11.png,Is the green sphere closer to the viewer than the cyan cube? Answer with yes or no.,Yes,Yes,37.25,29.0,True
/app/qwen/models/2m/checkpoint-31252,obj2_closer,output/phasevar_5/0000_phA00_phB12.png,Is the green sphere closer to the viewer than the cyan cube? Answer with yes or no.,Yes,Yes,37.25,28.625,True
/app/qwen/models/2m/checkpoint-31252,obj2_closer,output/phasevar_5/0000_phA00_phB13.png,Is the green sphere closer to the viewer than the cyan cube? Answer with yes or no.,Yes,Yes,37.0,28.5,True
/app/qwen/models/2m/checkpoint-31252,obj2_closer,output/phasevar_5/0000_phA00_phB14.png,Is the green sphere closer to the viewer than the cyan cube? Answer with yes or no.,Yes,Yes,36.75,28.75,True
/app/qwen/models/2m/checkpoint-31252,obj2_closer,output/phasevar_5/0000_phA00_phB15.png,Is the green sphere closer to the viewer than the cyan cube? Answer with yes or no.,Yes,Yes,36.25,29.25,True
/app/qwen/models/2m/checkpoint-31252,obj2_closer,output/phasevar_5/0000_phA01_phB00.png,Is the green sphere closer to the viewer than the cyan cube? Answer with yes or no.,Yes,Yes,34.75,29.5,True
/app/qwen/models/2m/checkpoint-31252,obj2_closer,output/phasevar_5/0000_phA01_phB01.png,Is the green sphere closer to the viewer than the cyan cube? Answer with yes or no.,Yes,Yes,32.0,29.5,True
/app/qwen/models/2m/checkpoint-31252,obj2_closer,output/phasevar_5/0000_phA01_phB02.png,Is the green sphere closer to the viewer than the cyan cube? Answer with yes or no.,Yes,Yes,32.0,29.625,True
/app/qwen/models/2m/checkpoint-31252,obj2_closer,output/phasevar_5/0000_phA01_phB03.png,Is the green sphere closer to the viewer than the cyan cube? Answer with yes or no.,Yes,Yes,30.0,29.875,True
/app/qwen/models/2m/checkpoint-31252,obj2_closer,output/phasevar_5/0000_phA01_phB04.png,Is the green sphere closer to the viewer than the cyan cube? Answer with yes or no.,Yes,Yes,30.25,30.0,True
/app/qwen/models/2m/checkpoint-31252,obj2_closer,output/phasevar_5/0000_phA01_phB05.png,Is the green sphere closer to the viewer than the cyan cube? Answer with yes or no.,Yes,Yes,30.25,29.75,True
/app/qwen/models/2m/checkpoint-31252,obj2_closer,output/phasevar_5/0000_phA01_phB06.png,Is the green sphere closer to the viewer than the cyan cube? Answer with yes or no.,Yes,Yes,32.25,29.0,True
/app/qwen/models/2m/checkpoint-31252,obj2_closer,output/phasevar_5/0000_phA01_phB07.png,Is the green sphere closer to the viewer than the cyan cube? Answer with yes or no.,Yes,Yes,34.5,29.25,True
/app/qwen/models/2m/checkpoint-31252,obj2_closer,output/phasevar_5/0000_phA01_phB08.png,Is the green sphere closer to the viewer than the cyan cube? Answer with yes or no.,Yes,Yes,36.5,29.375,True
/app/qwen/models/2m/checkpoint-31252,obj2_closer,output/phasevar_5/0000_phA01_phB09.png,Is the green sphere closer to the viewer than the cyan cube? Answer with yes or no.,Yes,Yes,37.25,29.125,True
/app/qwen/models/2m/checkpoint-31252,obj2_closer,output/phasevar_5/0000_phA01_phB10.png,Is the green sphere closer to the viewer than the cyan cube? Answer with yes or no.,Yes,Yes,37.5,29.0,True
