model_path,variant,image,question,ground_truth,prediction,Yes_logit,No_logit,correct
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar/0/0000_phA00_phB00.png,Is the magenta sphere farther from the camera than the blue cube? Answer with yes or no.,No,No,-10.0056791305542,-9.682535171508789,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar/0/0000_phA00_phB01.png,Is the magenta sphere farther from the camera than the blue cube? Answer with yes or no.,No,No,-9.939046859741211,-9.930667877197266,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar/0/0000_phA00_phB02.png,Is the magenta sphere farther from the camera than the blue cube? Answer with yes or no.,No,No,-10.014142036437988,-9.950906753540039,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar/0/0000_phA00_phB03.png,Is the magenta sphere farther from the camera than the blue cube? Answer with yes or no.,No,Yes,-10.029168128967285,-10.092158317565918,False
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar/0/0000_phA00_phB04.png,Is the magenta sphere farther from the camera than the blue cube? Answer with yes or no.,No,Yes,-9.967466354370117,-9.989021301269531,False
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar/0/0000_phA00_phB05.png,Is the magenta sphere farther from the camera than the blue cube? Answer with yes or no.,No,Yes,-10.009391784667969,-10.11174488067627,False
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar/0/0000_phA00_phB06.png,Is the magenta sphere farther from the camera than the blue cube? Answer with yes or no.,No,Yes,-10.042016983032227,-10.135997772216797,False
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar/0/0000_phA00_phB07.png,Is the magenta sphere farther from the camera than the blue cube? Answer with yes or no.,No,Yes,-10.063798904418945,-10.316097259521484,False
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar/0/0000_phA00_phB08.png,Is the magenta sphere farther from the camera than the blue cube? Answer with yes or no.,No,No,-10.026337623596191,-9.886605262756348,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar/0/0000_phA00_phB09.png,Is the magenta sphere farther from the camera than the blue cube? Answer with yes or no.,No,No,-10.09687614440918,-9.821125030517578,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar/0/0000_phA00_phB10.png,Is the magenta sphere farther from the camera than the blue cube? Answer with yes or no.,No,No,-10.026084899902344,-9.703959465026855,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar/0/0000_phA00_phB11.png,Is the magenta sphere farther from the camera than the blue cube? Answer with yes or no.,No,No,-9.992547988891602,-9.706422805786133,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar/0/0000_phA00_phB12.png,Is the magenta sphere farther from the camera than the blue cube? Answer with yes or no.,No,No,-10.183723449707031,-9.842655181884766,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar/0/0000_phA00_phB13.png,Is the magenta sphere farther from the camera than the blue cube? Answer with yes or no.,No,No,-10.059788703918457,-9.669621467590332,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar/0/0000_phA00_phB14.png,Is the magenta sphere farther from the camera than the blue cube? Answer with yes or no.,No,No,-10.018852233886719,-9.609476089477539,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar/0/0000_phA00_phB15.png,Is the magenta sphere farther from the camera than the blue cube? Answer with yes or no.,No,No,-10.065279960632324,-9.675877571105957,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar/0/0000_phA01_phB00.png,Is the magenta sphere farther from the camera than the blue cube? Answer with yes or no.,No,No,-10.098307609558105,-9.596356391906738,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar/0/0000_phA01_phB01.png,Is the magenta sphere farther from the camera than the blue cube? Answer with yes or no.,No,No,-9.982036590576172,-9.736605644226074,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar/0/0000_phA01_phB02.png,Is the magenta sphere farther from the camera than the blue cube? Answer with yes or no.,No,No,-10.0598726272583,-9.802220344543457,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar/0/0000_phA01_phB03.png,Is the magenta sphere farther from the camera than the blue cube? Answer with yes or no.,No,No,-10.041897773742676,-9.9992094039917,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar/0/0000_phA01_phB04.png,Is the magenta sphere farther from the camera than the blue cube? Answer with yes or no.,No,No,-9.989957809448242,-9.923832893371582,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar/0/0000_phA01_phB05.png,Is the magenta sphere farther from the camera than the blue cube? Answer with yes or no.,No,Yes,-10.035266876220703,-10.061739921569824,False
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar/0/0000_phA01_phB06.png,Is the magenta sphere farther from the camera than the blue cube? Answer with yes or no.,No,No,-10.044915199279785,-10.020137786865234,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar/0/0000_phA01_phB07.png,Is the magenta sphere farther from the camera than the blue cube? Answer with yes or no.,No,Yes,-10.02878475189209,-10.031974792480469,False
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar/0/0000_phA01_phB08.png,Is the magenta sphere farther from the camera than the blue cube? Answer with yes or no.,No,No,-10.07707405090332,-9.73127555847168,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar/0/0000_phA01_phB09.png,Is the magenta sphere farther from the camera than the blue cube? Answer with yes or no.,No,No,-10.137659072875977,-9.707822799682617,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar/0/0000_phA01_phB10.png,Is the magenta sphere farther from the camera than the blue cube? Answer with yes or no.,No,No,-10.0751314163208,-9.705683708190918,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar/0/0000_phA01_phB11.png,Is the magenta sphere farther from the camera than the blue cube? Answer with yes or no.,No,No,-10.034618377685547,-9.699649810791016,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar/0/0000_phA01_phB12.png,Is the magenta sphere farther from the camera than the blue cube? Answer with yes or no.,No,No,-10.18856143951416,-9.791096687316895,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar/0/0000_phA01_phB13.png,Is the magenta sphere farther from the camera than the blue cube? Answer with yes or no.,No,No,-10.075716972351074,-9.643050193786621,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar/0/0000_phA01_phB14.png,Is the magenta sphere farther from the camera than the blue cube? Answer with yes or no.,No,No,-10.088399887084961,-9.636765480041504,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar/0/0000_phA01_phB15.png,Is the magenta sphere farther from the camera than the blue cube? Answer with yes or no.,No,No,-10.173995971679688,-9.74738597869873,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar/0/0000_phA02_phB00.png,Is the magenta sphere farther from the camera than the blue cube? Answer with yes or no.,No,No,-10.068760871887207,-9.467097282409668,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar/0/0000_phA02_phB01.png,Is the magenta sphere farther from the camera than the blue cube? Answer with yes or no.,No,No,-10.062196731567383,-9.6539306640625,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar/0/0000_phA02_phB02.png,Is the magenta sphere farther from the camera than the blue cube? Answer with yes or no.,No,No,-10.075363159179688,-9.692618370056152,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar/0/0000_phA02_phB03.png,Is the magenta sphere farther from the camera than the blue cube? Answer with yes or no.,No,No,-10.038145065307617,-9.975326538085938,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar/0/0000_phA02_phB04.png,Is the magenta sphere farther from the camera than the blue cube? Answer with yes or no.,No,No,-10.004249572753906,-9.775251388549805,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar/0/0000_phA02_phB05.png,Is the magenta sphere farther from the camera than the blue cube? Answer with yes or no.,No,No,-10.045961380004883,-9.89007568359375,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar/0/0000_phA02_phB06.png,Is the magenta sphere farther from the camera than the blue cube? Answer with yes or no.,No,No,-9.985864639282227,-9.820850372314453,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar/0/0000_phA02_phB07.png,Is the magenta sphere farther from the camera than the blue cube? Answer with yes or no.,No,No,-9.975851058959961,-9.900420188903809,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar/0/0000_phA02_phB08.png,Is the magenta sphere farther from the camera than the blue cube? Answer with yes or no.,No,No,-10.06900405883789,-9.558177947998047,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar/0/0000_phA02_phB09.png,Is the magenta sphere farther from the camera than the blue cube? Answer with yes or no.,No,No,-10.099193572998047,-9.598176002502441,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar/0/0000_phA02_phB10.png,Is the magenta sphere farther from the camera than the blue cube? Answer with yes or no.,No,No,-10.040553092956543,-9.504100799560547,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar/0/0000_phA02_phB11.png,Is the magenta sphere farther from the camera than the blue cube? Answer with yes or no.,No,No,-10.030396461486816,-9.583281517028809,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar/0/0000_phA02_phB12.png,Is the magenta sphere farther from the camera than the blue cube? Answer with yes or no.,No,No,-10.173596382141113,-9.659562110900879,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar/0/0000_phA02_phB13.png,Is the magenta sphere farther from the camera than the blue cube? Answer with yes or no.,No,No,-10.057389259338379,-9.457128524780273,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar/0/0000_phA02_phB14.png,Is the magenta sphere farther from the camera than the blue cube? Answer with yes or no.,No,No,-10.06967544555664,-9.457972526550293,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar/0/0000_phA02_phB15.png,Is the magenta sphere farther from the camera than the blue cube? Answer with yes or no.,No,No,-10.172078132629395,-9.567002296447754,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar/0/0000_phA03_phB00.png,Is the magenta sphere farther from the camera than the blue cube? Answer with yes or no.,No,No,-10.064401626586914,-9.583093643188477,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar/0/0000_phA03_phB01.png,Is the magenta sphere farther from the camera than the blue cube? Answer with yes or no.,No,No,-9.998493194580078,-9.704174041748047,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar/0/0000_phA03_phB02.png,Is the magenta sphere farther from the camera than the blue cube? Answer with yes or no.,No,No,-10.094395637512207,-9.86845588684082,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar/0/0000_phA03_phB03.png,Is the magenta sphere farther from the camera than the blue cube? Answer with yes or no.,No,No,-10.102544784545898,-10.019469261169434,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar/0/0000_phA03_phB04.png,Is the magenta sphere farther from the camera than the blue cube? Answer with yes or no.,No,Yes,-10.060340881347656,-10.077764511108398,False
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar/0/0000_phA03_phB05.png,Is the magenta sphere farther from the camera than the blue cube? Answer with yes or no.,No,Yes,-10.039055824279785,-10.145318984985352,False
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar/0/0000_phA03_phB06.png,Is the magenta sphere farther from the camera than the blue cube? Answer with yes or no.,No,Yes,-10.070099830627441,-10.106222152709961,False
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar/0/0000_phA03_phB07.png,Is the magenta sphere farther from the camera than the blue cube? Answer with yes or no.,No,Yes,-10.109902381896973,-10.150955200195312,False
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar/0/0000_phA03_phB08.png,Is the magenta sphere farther from the camera than the blue cube? Answer with yes or no.,No,No,-10.118803024291992,-9.786476135253906,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar/0/0000_phA03_phB09.png,Is the magenta sphere farther from the camera than the blue cube? Answer with yes or no.,No,No,-10.154879570007324,-9.808826446533203,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar/0/0000_phA03_phB10.png,Is the magenta sphere farther from the camera than the blue cube? Answer with yes or no.,No,No,-10.090332984924316,-9.664275169372559,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar/0/0000_phA03_phB11.png,Is the magenta sphere farther from the camera than the blue cube? Answer with yes or no.,No,No,-10.122772216796875,-9.77712345123291,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar/0/0000_phA03_phB12.png,Is the magenta sphere farther from the camera than the blue cube? Answer with yes or no.,No,No,-10.24370002746582,-9.824028015136719,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar/0/0000_phA03_phB13.png,Is the magenta sphere farther from the camera than the blue cube? Answer with yes or no.,No,No,-10.104793548583984,-9.638280868530273,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar/0/0000_phA03_phB14.png,Is the magenta sphere farther from the camera than the blue cube? Answer with yes or no.,No,No,-10.06638240814209,-9.54226303100586,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar/0/0000_phA03_phB15.png,Is the magenta sphere farther from the camera than the blue cube? Answer with yes or no.,No,No,-10.107789039611816,-9.63817024230957,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar/0/0000_phA04_phB00.png,Is the magenta sphere farther from the camera than the blue cube? Answer with yes or no.,No,No,-10.010078430175781,-9.496560096740723,True
