model_path,variant,image,question,ground_truth,prediction,A_logit,B_logit,correct
allenai/Molmo-7B-O-0924,obj1_closer,output/phasevar_3/0/0000_phA00_phB00.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-11.809012413024902,-9.586974143981934,True
allenai/Molmo-7B-O-0924,obj1_closer,output/phasevar_3/0/0000_phA00_phB01.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-11.941802024841309,-9.694647789001465,True
allenai/Molmo-7B-O-0924,obj1_closer,output/phasevar_3/0/0000_phA00_phB02.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-11.956849098205566,-9.640525817871094,True
allenai/Molmo-7B-O-0924,obj1_closer,output/phasevar_3/0/0000_phA00_phB03.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-11.959041595458984,-9.662440299987793,True
allenai/Molmo-7B-O-0924,obj1_closer,output/phasevar_3/0/0000_phA00_phB04.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-11.804468154907227,-9.511479377746582,True
allenai/Molmo-7B-O-0924,obj1_closer,output/phasevar_3/0/0000_phA00_phB05.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-11.93619155883789,-9.643861770629883,True
allenai/Molmo-7B-O-0924,obj1_closer,output/phasevar_3/0/0000_phA00_phB06.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-12.088920593261719,-9.802356719970703,True
allenai/Molmo-7B-O-0924,obj1_closer,output/phasevar_3/0/0000_phA00_phB07.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-12.209068298339844,-9.856756210327148,True
allenai/Molmo-7B-O-0924,obj1_closer,output/phasevar_3/0/0000_phA00_phB08.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-12.246002197265625,-9.833891868591309,True
allenai/Molmo-7B-O-0924,obj1_closer,output/phasevar_3/0/0000_phA00_phB09.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-12.387649536132812,-10.044776916503906,True
allenai/Molmo-7B-O-0924,obj1_closer,output/phasevar_3/0/0000_phA00_phB10.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-12.281216621398926,-10.050498962402344,True
allenai/Molmo-7B-O-0924,obj1_closer,output/phasevar_3/0/0000_phA00_phB11.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-12.377657890319824,-10.123551368713379,True
allenai/Molmo-7B-O-0924,obj1_closer,output/phasevar_3/0/0000_phA00_phB12.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-12.338139533996582,-10.08059024810791,True
allenai/Molmo-7B-O-0924,obj1_closer,output/phasevar_3/0/0000_phA00_phB13.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-12.304214477539062,-10.14529037475586,True
allenai/Molmo-7B-O-0924,obj1_closer,output/phasevar_3/0/0000_phA00_phB14.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-12.085661888122559,-9.923173904418945,True
allenai/Molmo-7B-O-0924,obj1_closer,output/phasevar_3/0/0000_phA00_phB15.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-11.99588680267334,-9.79312801361084,True
allenai/Molmo-7B-O-0924,obj1_closer,output/phasevar_3/0/0000_phA01_phB00.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-12.096550941467285,-9.816781997680664,True
allenai/Molmo-7B-O-0924,obj1_closer,output/phasevar_3/0/0000_phA01_phB01.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-11.999839782714844,-9.740564346313477,True
allenai/Molmo-7B-O-0924,obj1_closer,output/phasevar_3/0/0000_phA01_phB02.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-12.138700485229492,-9.755759239196777,True
allenai/Molmo-7B-O-0924,obj1_closer,output/phasevar_3/0/0000_phA01_phB03.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-12.059826850891113,-9.716231346130371,True
allenai/Molmo-7B-O-0924,obj1_closer,output/phasevar_3/0/0000_phA01_phB04.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-11.864410400390625,-9.574577331542969,True
allenai/Molmo-7B-O-0924,obj1_closer,output/phasevar_3/0/0000_phA01_phB05.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-12.095541954040527,-9.724047660827637,True
allenai/Molmo-7B-O-0924,obj1_closer,output/phasevar_3/0/0000_phA01_phB06.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-12.234548568725586,-9.848127365112305,True
allenai/Molmo-7B-O-0924,obj1_closer,output/phasevar_3/0/0000_phA01_phB07.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-12.37838077545166,-9.941211700439453,True
allenai/Molmo-7B-O-0924,obj1_closer,output/phasevar_3/0/0000_phA01_phB08.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-12.351845741271973,-9.878357887268066,True
allenai/Molmo-7B-O-0924,obj1_closer,output/phasevar_3/0/0000_phA01_phB09.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-12.507084846496582,-10.13916015625,True
allenai/Molmo-7B-O-0924,obj1_closer,output/phasevar_3/0/0000_phA01_phB10.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-12.474811553955078,-10.188253402709961,True
allenai/Molmo-7B-O-0924,obj1_closer,output/phasevar_3/0/0000_phA01_phB11.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-12.541913986206055,-10.25757884979248,True
allenai/Molmo-7B-O-0924,obj1_closer,output/phasevar_3/0/0000_phA01_phB12.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-12.51961612701416,-10.240740776062012,True
allenai/Molmo-7B-O-0924,obj1_closer,output/phasevar_3/0/0000_phA01_phB13.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-12.417743682861328,-10.207290649414062,True
allenai/Molmo-7B-O-0924,obj1_closer,output/phasevar_3/0/0000_phA01_phB14.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-12.306098937988281,-10.06375503540039,True
allenai/Molmo-7B-O-0924,obj1_closer,output/phasevar_3/0/0000_phA01_phB15.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-12.309416770935059,-10.051228523254395,True
allenai/Molmo-7B-O-0924,obj1_closer,output/phasevar_3/0/0000_phA02_phB00.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-12.139126777648926,-9.975239753723145,True
allenai/Molmo-7B-O-0924,obj1_closer,output/phasevar_3/0/0000_phA02_phB01.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-12.222667694091797,-9.977811813354492,True
allenai/Molmo-7B-O-0924,obj1_closer,output/phasevar_3/0/0000_phA02_phB02.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-12.137252807617188,-9.842949867248535,True
allenai/Molmo-7B-O-0924,obj1_closer,output/phasevar_3/0/0000_phA02_phB03.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-12.195594787597656,-9.87497329711914,True
allenai/Molmo-7B-O-0924,obj1_closer,output/phasevar_3/0/0000_phA02_phB04.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-11.960310935974121,-9.71186637878418,True
allenai/Molmo-7B-O-0924,obj1_closer,output/phasevar_3/0/0000_phA02_phB05.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-12.196822166442871,-9.878483772277832,True
allenai/Molmo-7B-O-0924,obj1_closer,output/phasevar_3/0/0000_phA02_phB06.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-12.390196800231934,-10.027159690856934,True
allenai/Molmo-7B-O-0924,obj1_closer,output/phasevar_3/0/0000_phA02_phB07.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-12.376058578491211,-9.978768348693848,True
allenai/Molmo-7B-O-0924,obj1_closer,output/phasevar_3/0/0000_phA02_phB08.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-12.467520713806152,-10.100472450256348,True
allenai/Molmo-7B-O-0924,obj1_closer,output/phasevar_3/0/0000_phA02_phB09.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-12.616374015808105,-10.322437286376953,True
allenai/Molmo-7B-O-0924,obj1_closer,output/phasevar_3/0/0000_phA02_phB10.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-12.506710052490234,-10.272799491882324,True
allenai/Molmo-7B-O-0924,obj1_closer,output/phasevar_3/0/0000_phA02_phB11.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-12.59064769744873,-10.363603591918945,True
allenai/Molmo-7B-O-0924,obj1_closer,output/phasevar_3/0/0000_phA02_phB12.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-12.53424072265625,-10.330534934997559,True
allenai/Molmo-7B-O-0924,obj1_closer,output/phasevar_3/0/0000_phA02_phB13.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-12.558293342590332,-10.401208877563477,True
allenai/Molmo-7B-O-0924,obj1_closer,output/phasevar_3/0/0000_phA02_phB14.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-12.384491920471191,-10.220929145812988,True
allenai/Molmo-7B-O-0924,obj1_closer,output/phasevar_3/0/0000_phA02_phB15.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-12.249297142028809,-10.104458808898926,True
allenai/Molmo-7B-O-0924,obj1_closer,output/phasevar_3/0/0000_phA03_phB00.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-12.074545860290527,-9.910213470458984,True
allenai/Molmo-7B-O-0924,obj1_closer,output/phasevar_3/0/0000_phA03_phB01.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-12.184552192687988,-9.994294166564941,True
allenai/Molmo-7B-O-0924,obj1_closer,output/phasevar_3/0/0000_phA03_phB02.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-12.177693367004395,-9.90648365020752,True
allenai/Molmo-7B-O-0924,obj1_closer,output/phasevar_3/0/0000_phA03_phB03.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-12.115472793579102,-9.794482231140137,True
allenai/Molmo-7B-O-0924,obj1_closer,output/phasevar_3/0/0000_phA03_phB04.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-12.035187721252441,-9.716791152954102,True
allenai/Molmo-7B-O-0924,obj1_closer,output/phasevar_3/0/0000_phA03_phB05.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-12.07242488861084,-9.755959510803223,True
allenai/Molmo-7B-O-0924,obj1_closer,output/phasevar_3/0/0000_phA03_phB06.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-12.270313262939453,-9.959476470947266,True
allenai/Molmo-7B-O-0924,obj1_closer,output/phasevar_3/0/0000_phA03_phB07.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-12.29830265045166,-9.97391414642334,True
allenai/Molmo-7B-O-0924,obj1_closer,output/phasevar_3/0/0000_phA03_phB08.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-12.454995155334473,-10.153347969055176,True
allenai/Molmo-7B-O-0924,obj1_closer,output/phasevar_3/0/0000_phA03_phB09.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-12.541391372680664,-10.302115440368652,True
allenai/Molmo-7B-O-0924,obj1_closer,output/phasevar_3/0/0000_phA03_phB10.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-12.473219871520996,-10.230091094970703,True
allenai/Molmo-7B-O-0924,obj1_closer,output/phasevar_3/0/0000_phA03_phB11.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-12.620000839233398,-10.38450813293457,True
allenai/Molmo-7B-O-0924,obj1_closer,output/phasevar_3/0/0000_phA03_phB12.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-12.593083381652832,-10.367948532104492,True
allenai/Molmo-7B-O-0924,obj1_closer,output/phasevar_3/0/0000_phA03_phB13.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-12.573773384094238,-10.388331413269043,True
allenai/Molmo-7B-O-0924,obj1_closer,output/phasevar_3/0/0000_phA03_phB14.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-12.362385749816895,-10.207006454467773,True
allenai/Molmo-7B-O-0924,obj1_closer,output/phasevar_3/0/0000_phA03_phB15.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-12.279265403747559,-10.12870979309082,True
allenai/Molmo-7B-O-0924,obj1_closer,output/phasevar_3/0/0000_phA04_phB00.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-12.126852035522461,-9.924971580505371,True
allenai/Molmo-7B-O-0924,obj1_closer,output/phasevar_3/0/0000_phA04_phB01.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-12.202706336975098,-10.016743659973145,True
allenai/Molmo-7B-O-0924,obj1_closer,output/phasevar_3/0/0000_phA04_phB02.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-12.203560829162598,-9.931663513183594,True
allenai/Molmo-7B-O-0924,obj1_closer,output/phasevar_3/0/0000_phA04_phB03.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-12.181838989257812,-9.884621620178223,True
allenai/Molmo-7B-O-0924,obj1_closer,output/phasevar_3/0/0000_phA04_phB04.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-12.175348281860352,-9.81826114654541,True
