metric	value
mean_p_correct	0.907992282946095
min_p_correct	0.565648319253828
max_p_correct	0.9999119913296391
rmse_avg	0.21078614547026983
obj1_top	0.8845189458037188
obj1_bottom	0.9112151409086959
obj1_delta_bottom_vs_top	0.026696195104977116
obj2_top	0.8913436369768046
obj2_bottom	0.9928108728660308
obj2_delta_bottom_vs_top	0.10146723588922613
obj1_right	0.9402186005060301
obj1_left	0.8794811382867455
obj1_delta_left_vs_right	-0.060737462219284666
obj2_right	0.8261181003533343
obj2_left	0.9567474377947616
obj2_delta_left_vs_right	0.13062933744142724
o1top_o2bot	0.982918449762887
o1bot_o2top	0.8706217847128521
delta_o1top_o2bot_vs_o1bot_o2top	0.11229666505003488
