model_path,variant,image,question,ground_truth,prediction,Yes_logit,No_logit,correct
/app/DATA/data_scale_exp_2m/unshared,obj2_farther,output/phasevar_4/0/0000_phA00_phB00.png,Is the green sphere farther from the camera than the cyan cube?,No,No,-12.579707145690918,-10.937356948852539,True
/app/DATA/data_scale_exp_2m/unshared,obj2_farther,output/phasevar_4/0/0000_phA00_phB01.png,Is the green sphere farther from the camera than the cyan cube?,No,No,-12.930037498474121,-10.966466903686523,True
/app/DATA/data_scale_exp_2m/unshared,obj2_farther,output/phasevar_4/0/0000_phA00_phB02.png,Is the green sphere farther from the camera than the cyan cube?,No,No,-12.9888916015625,-10.919275283813477,True
/app/DATA/data_scale_exp_2m/unshared,obj2_farther,output/phasevar_4/0/0000_phA00_phB03.png,Is the green sphere farther from the camera than the cyan cube?,No,No,-12.9412841796875,-10.972362518310547,True
/app/DATA/data_scale_exp_2m/unshared,obj2_farther,output/phasevar_4/0/0000_phA00_phB04.png,Is the green sphere farther from the camera than the cyan cube?,No,No,-12.948708534240723,-10.973966598510742,True
/app/DATA/data_scale_exp_2m/unshared,obj2_farther,output/phasevar_4/0/0000_phA00_phB05.png,Is the green sphere farther from the camera than the cyan cube?,No,No,-12.961150169372559,-10.933470726013184,True
/app/DATA/data_scale_exp_2m/unshared,obj2_farther,output/phasevar_4/0/0000_phA00_phB06.png,Is the green sphere farther from the camera than the cyan cube?,No,No,-13.171960830688477,-10.904699325561523,True
/app/DATA/data_scale_exp_2m/unshared,obj2_farther,output/phasevar_4/0/0000_phA00_phB07.png,Is the green sphere farther from the camera than the cyan cube?,No,No,-12.904585838317871,-10.973861694335938,True
/app/DATA/data_scale_exp_2m/unshared,obj2_farther,output/phasevar_4/0/0000_phA00_phB08.png,Is the green sphere farther from the camera than the cyan cube?,No,No,-12.45422649383545,-11.070316314697266,True
/app/DATA/data_scale_exp_2m/unshared,obj2_farther,output/phasevar_4/0/0000_phA00_phB09.png,Is the green sphere farther from the camera than the cyan cube?,No,No,-12.470503807067871,-10.997193336486816,True
/app/DATA/data_scale_exp_2m/unshared,obj2_farther,output/phasevar_4/0/0000_phA00_phB10.png,Is the green sphere farther from the camera than the cyan cube?,No,No,-12.644586563110352,-10.874232292175293,True
/app/DATA/data_scale_exp_2m/unshared,obj2_farther,output/phasevar_4/0/0000_phA00_phB11.png,Is the green sphere farther from the camera than the cyan cube?,No,No,-12.599839210510254,-10.850215911865234,True
/app/DATA/data_scale_exp_2m/unshared,obj2_farther,output/phasevar_4/0/0000_phA00_phB12.png,Is the green sphere farther from the camera than the cyan cube?,No,No,-12.467422485351562,-10.900110244750977,True
/app/DATA/data_scale_exp_2m/unshared,obj2_farther,output/phasevar_4/0/0000_phA00_phB13.png,Is the green sphere farther from the camera than the cyan cube?,No,No,-12.33993148803711,-10.878244400024414,True
/app/DATA/data_scale_exp_2m/unshared,obj2_farther,output/phasevar_4/0/0000_phA00_phB14.png,Is the green sphere farther from the camera than the cyan cube?,No,No,-12.51464557647705,-10.821775436401367,True
/app/DATA/data_scale_exp_2m/unshared,obj2_farther,output/phasevar_4/0/0000_phA00_phB15.png,Is the green sphere farther from the camera than the cyan cube?,No,No,-12.431653022766113,-10.91648006439209,True
/app/DATA/data_scale_exp_2m/unshared,obj2_farther,output/phasevar_4/0/0000_phA01_phB00.png,Is the green sphere farther from the camera than the cyan cube?,No,No,-12.465280532836914,-10.96693229675293,True
/app/DATA/data_scale_exp_2m/unshared,obj2_farther,output/phasevar_4/0/0000_phA01_phB01.png,Is the green sphere farther from the camera than the cyan cube?,No,No,-12.869504928588867,-10.974081039428711,True
/app/DATA/data_scale_exp_2m/unshared,obj2_farther,output/phasevar_4/0/0000_phA01_phB02.png,Is the green sphere farther from the camera than the cyan cube?,No,No,-12.977677345275879,-10.936241149902344,True
/app/DATA/data_scale_exp_2m/unshared,obj2_farther,output/phasevar_4/0/0000_phA01_phB03.png,Is the green sphere farther from the camera than the cyan cube?,No,No,-13.020402908325195,-10.999101638793945,True
/app/DATA/data_scale_exp_2m/unshared,obj2_farther,output/phasevar_4/0/0000_phA01_phB04.png,Is the green sphere farther from the camera than the cyan cube?,No,No,-13.044424057006836,-11.017193794250488,True
/app/DATA/data_scale_exp_2m/unshared,obj2_farther,output/phasevar_4/0/0000_phA01_phB05.png,Is the green sphere farther from the camera than the cyan cube?,No,No,-12.993104934692383,-10.940871238708496,True
/app/DATA/data_scale_exp_2m/unshared,obj2_farther,output/phasevar_4/0/0000_phA01_phB06.png,Is the green sphere farther from the camera than the cyan cube?,No,No,-13.161758422851562,-10.943942070007324,True
/app/DATA/data_scale_exp_2m/unshared,obj2_farther,output/phasevar_4/0/0000_phA01_phB07.png,Is the green sphere farther from the camera than the cyan cube?,No,No,-12.867047309875488,-10.984341621398926,True
/app/DATA/data_scale_exp_2m/unshared,obj2_farther,output/phasevar_4/0/0000_phA01_phB08.png,Is the green sphere farther from the camera than the cyan cube?,No,No,-12.43070125579834,-11.088186264038086,True
/app/DATA/data_scale_exp_2m/unshared,obj2_farther,output/phasevar_4/0/0000_phA01_phB09.png,Is the green sphere farther from the camera than the cyan cube?,No,No,-12.407660484313965,-11.007865905761719,True
/app/DATA/data_scale_exp_2m/unshared,obj2_farther,output/phasevar_4/0/0000_phA01_phB10.png,Is the green sphere farther from the camera than the cyan cube?,No,No,-12.59954833984375,-10.899700164794922,True
/app/DATA/data_scale_exp_2m/unshared,obj2_farther,output/phasevar_4/0/0000_phA01_phB11.png,Is the green sphere farther from the camera than the cyan cube?,No,No,-12.523699760437012,-10.884510040283203,True
