model_path,variant,image,question,ground_truth,prediction,Yes_logit,No_logit,correct
/app/DATA/data_scale_exp_2m/unshared,obj2_closer,output/phasevar_4/0/0000_phA00_phB00.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,Yes,-8.250531196594238,-11.683536529541016,True
/app/DATA/data_scale_exp_2m/unshared,obj2_closer,output/phasevar_4/0/0000_phA00_phB01.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,Yes,-8.324121475219727,-11.372026443481445,True
/app/DATA/data_scale_exp_2m/unshared,obj2_closer,output/phasevar_4/0/0000_phA00_phB02.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,Yes,-8.297574043273926,-11.389320373535156,True
/app/DATA/data_scale_exp_2m/unshared,obj2_closer,output/phasevar_4/0/0000_phA00_phB03.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,Yes,-8.404138565063477,-11.180012702941895,True
/app/DATA/data_scale_exp_2m/unshared,obj2_closer,output/phasevar_4/0/0000_phA00_phB04.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,Yes,-8.473244667053223,-11.410480499267578,True
/app/DATA/data_scale_exp_2m/unshared,obj2_closer,output/phasevar_4/0/0000_phA00_phB05.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,Yes,-8.549348831176758,-11.35291576385498,True
/app/DATA/data_scale_exp_2m/unshared,obj2_closer,output/phasevar_4/0/0000_phA00_phB06.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,Yes,-8.42220687866211,-11.403543472290039,True
/app/DATA/data_scale_exp_2m/unshared,obj2_closer,output/phasevar_4/0/0000_phA00_phB07.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,Yes,-8.445446014404297,-11.278005599975586,True
/app/DATA/data_scale_exp_2m/unshared,obj2_closer,output/phasevar_4/0/0000_phA00_phB08.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,Yes,-8.513891220092773,-11.37342643737793,True
/app/DATA/data_scale_exp_2m/unshared,obj2_closer,output/phasevar_4/0/0000_phA00_phB09.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,Yes,-8.4196195602417,-11.736568450927734,True
/app/DATA/data_scale_exp_2m/unshared,obj2_closer,output/phasevar_4/0/0000_phA00_phB10.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,Yes,-8.355853080749512,-11.869818687438965,True
/app/DATA/data_scale_exp_2m/unshared,obj2_closer,output/phasevar_4/0/0000_phA00_phB11.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,Yes,-8.406539916992188,-11.664050102233887,True
/app/DATA/data_scale_exp_2m/unshared,obj2_closer,output/phasevar_4/0/0000_phA00_phB12.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,Yes,-8.402027130126953,-11.604254722595215,True
/app/DATA/data_scale_exp_2m/unshared,obj2_closer,output/phasevar_4/0/0000_phA00_phB13.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,Yes,-8.395315170288086,-11.597542762756348,True
/app/DATA/data_scale_exp_2m/unshared,obj2_closer,output/phasevar_4/0/0000_phA00_phB14.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,Yes,-8.309720039367676,-12.195011138916016,True
/app/DATA/data_scale_exp_2m/unshared,obj2_closer,output/phasevar_4/0/0000_phA00_phB15.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,Yes,-8.368372917175293,-11.832918167114258,True
/app/DATA/data_scale_exp_2m/unshared,obj2_closer,output/phasevar_4/0/0000_phA01_phB00.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,Yes,-8.214824676513672,-11.864291191101074,True
/app/DATA/data_scale_exp_2m/unshared,obj2_closer,output/phasevar_4/0/0000_phA01_phB01.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,Yes,-8.131271362304688,-11.540716171264648,True
/app/DATA/data_scale_exp_2m/unshared,obj2_closer,output/phasevar_4/0/0000_phA01_phB02.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,Yes,-8.19688892364502,-11.568780899047852,True
/app/DATA/data_scale_exp_2m/unshared,obj2_closer,output/phasevar_4/0/0000_phA01_phB03.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,Yes,-8.2382173538208,-11.234622955322266,True
/app/DATA/data_scale_exp_2m/unshared,obj2_closer,output/phasevar_4/0/0000_phA01_phB04.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,Yes,-8.346619606018066,-11.478131294250488,True
/app/DATA/data_scale_exp_2m/unshared,obj2_closer,output/phasevar_4/0/0000_phA01_phB05.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,Yes,-8.384249687194824,-11.3106107711792,True
/app/DATA/data_scale_exp_2m/unshared,obj2_closer,output/phasevar_4/0/0000_phA01_phB06.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,Yes,-8.339224815368652,-11.378809928894043,True
/app/DATA/data_scale_exp_2m/unshared,obj2_closer,output/phasevar_4/0/0000_phA01_phB07.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,Yes,-8.326908111572266,-11.262540817260742,True
/app/DATA/data_scale_exp_2m/unshared,obj2_closer,output/phasevar_4/0/0000_phA01_phB08.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,Yes,-8.385677337646484,-11.41015625,True
/app/DATA/data_scale_exp_2m/unshared,obj2_closer,output/phasevar_4/0/0000_phA01_phB09.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,Yes,-8.307424545288086,-11.713454246520996,True
/app/DATA/data_scale_exp_2m/unshared,obj2_closer,output/phasevar_4/0/0000_phA01_phB10.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,Yes,-8.296796798706055,-11.965057373046875,True
/app/DATA/data_scale_exp_2m/unshared,obj2_closer,output/phasevar_4/0/0000_phA01_phB11.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,Yes,-8.343950271606445,-11.759629249572754,True
/app/DATA/data_scale_exp_2m/unshared,obj2_closer,output/phasevar_4/0/0000_phA01_phB12.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,Yes,-8.330050468444824,-11.734135627746582,True
/app/DATA/data_scale_exp_2m/unshared,obj2_closer,output/phasevar_4/0/0000_phA01_phB13.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,Yes,-8.3054780960083,-11.748132705688477,True
/app/DATA/data_scale_exp_2m/unshared,obj2_closer,output/phasevar_4/0/0000_phA01_phB14.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,Yes,-8.302444458007812,-12.399299621582031,True
/app/DATA/data_scale_exp_2m/unshared,obj2_closer,output/phasevar_4/0/0000_phA01_phB15.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,Yes,-8.309045791625977,-12.181118965148926,True
/app/DATA/data_scale_exp_2m/unshared,obj2_closer,output/phasevar_4/0/0000_phA02_phB00.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,Yes,-8.18148136138916,-11.692477226257324,True
/app/DATA/data_scale_exp_2m/unshared,obj2_closer,output/phasevar_4/0/0000_phA02_phB01.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,Yes,-8.055909156799316,-11.356730461120605,True
/app/DATA/data_scale_exp_2m/unshared,obj2_closer,output/phasevar_4/0/0000_phA02_phB02.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,Yes,-7.969231605529785,-11.058279037475586,True
/app/DATA/data_scale_exp_2m/unshared,obj2_closer,output/phasevar_4/0/0000_phA02_phB03.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,Yes,-8.056055068969727,-10.853225708007812,True
