model_path,variant,image,question,ground_truth,prediction,Yes_logit,No_logit,correct
/app/DATA/data_scale_exp_2m/unshared,obj1_closer,output/phasevar_4/0/0000_phA00_phB00.png,Is the cyan cube closer to the camera than the green sphere?,No,No,-10.821834564208984,-9.389894485473633,True
/app/DATA/data_scale_exp_2m/unshared,obj1_closer,output/phasevar_4/0/0000_phA00_phB01.png,Is the cyan cube closer to the camera than the green sphere?,No,No,-10.487166404724121,-9.373659133911133,True
/app/DATA/data_scale_exp_2m/unshared,obj1_closer,output/phasevar_4/0/0000_phA00_phB02.png,Is the cyan cube closer to the camera than the green sphere?,No,No,-10.528048515319824,-9.44995403289795,True
/app/DATA/data_scale_exp_2m/unshared,obj1_closer,output/phasevar_4/0/0000_phA00_phB03.png,Is the cyan cube closer to the camera than the green sphere?,No,No,-10.45729923248291,-9.622461318969727,True
/app/DATA/data_scale_exp_2m/unshared,obj1_closer,output/phasevar_4/0/0000_phA00_phB04.png,Is the cyan cube closer to the camera than the green sphere?,No,No,-10.42324161529541,-9.654935836791992,True
/app/DATA/data_scale_exp_2m/unshared,obj1_closer,output/phasevar_4/0/0000_phA00_phB05.png,Is the cyan cube closer to the camera than the green sphere?,No,No,-10.098122596740723,-9.639775276184082,True
/app/DATA/data_scale_exp_2m/unshared,obj1_closer,output/phasevar_4/0/0000_phA00_phB06.png,Is the cyan cube closer to the camera than the green sphere?,No,No,-10.240803718566895,-9.47260570526123,True
/app/DATA/data_scale_exp_2m/unshared,obj1_closer,output/phasevar_4/0/0000_phA00_phB07.png,Is the cyan cube closer to the camera than the green sphere?,No,No,-9.775558471679688,-9.423079490661621,True
/app/DATA/data_scale_exp_2m/unshared,obj1_closer,output/phasevar_4/0/0000_phA00_phB08.png,Is the cyan cube closer to the camera than the green sphere?,No,No,-9.762968063354492,-9.52170181274414,True
/app/DATA/data_scale_exp_2m/unshared,obj1_closer,output/phasevar_4/0/0000_phA00_phB09.png,Is the cyan cube closer to the camera than the green sphere?,No,No,-10.47329330444336,-9.462506294250488,True
/app/DATA/data_scale_exp_2m/unshared,obj1_closer,output/phasevar_4/0/0000_phA00_phB10.png,Is the cyan cube closer to the camera than the green sphere?,No,No,-10.536103248596191,-9.51513671875,True
/app/DATA/data_scale_exp_2m/unshared,obj1_closer,output/phasevar_4/0/0000_phA00_phB11.png,Is the cyan cube closer to the camera than the green sphere?,No,No,-10.518970489501953,-9.664519309997559,True
/app/DATA/data_scale_exp_2m/unshared,obj1_closer,output/phasevar_4/0/0000_phA00_phB12.png,Is the cyan cube closer to the camera than the green sphere?,No,No,-10.430512428283691,-9.714550971984863,True
/app/DATA/data_scale_exp_2m/unshared,obj1_closer,output/phasevar_4/0/0000_phA00_phB13.png,Is the cyan cube closer to the camera than the green sphere?,No,No,-11.090067863464355,-9.611145973205566,True
/app/DATA/data_scale_exp_2m/unshared,obj1_closer,output/phasevar_4/0/0000_phA00_phB14.png,Is the cyan cube closer to the camera than the green sphere?,No,No,-11.230223655700684,-9.446625709533691,True
/app/DATA/data_scale_exp_2m/unshared,obj1_closer,output/phasevar_4/0/0000_phA00_phB15.png,Is the cyan cube closer to the camera than the green sphere?,No,No,-11.120635032653809,-9.44855785369873,True
/app/DATA/data_scale_exp_2m/unshared,obj1_closer,output/phasevar_4/0/0000_phA01_phB00.png,Is the cyan cube closer to the camera than the green sphere?,No,No,-11.016180038452148,-9.42199420928955,True
/app/DATA/data_scale_exp_2m/unshared,obj1_closer,output/phasevar_4/0/0000_phA01_phB01.png,Is the cyan cube closer to the camera than the green sphere?,No,No,-10.646564483642578,-9.386775016784668,True
/app/DATA/data_scale_exp_2m/unshared,obj1_closer,output/phasevar_4/0/0000_phA01_phB02.png,Is the cyan cube closer to the camera than the green sphere?,No,No,-10.58903694152832,-9.493668556213379,True
/app/DATA/data_scale_exp_2m/unshared,obj1_closer,output/phasevar_4/0/0000_phA01_phB03.png,Is the cyan cube closer to the camera than the green sphere?,No,No,-10.617698669433594,-9.649667739868164,True
/app/DATA/data_scale_exp_2m/unshared,obj1_closer,output/phasevar_4/0/0000_phA01_phB04.png,Is the cyan cube closer to the camera than the green sphere?,No,No,-10.695821762084961,-9.675251007080078,True
/app/DATA/data_scale_exp_2m/unshared,obj1_closer,output/phasevar_4/0/0000_phA01_phB05.png,Is the cyan cube closer to the camera than the green sphere?,No,No,-10.245126724243164,-9.675714492797852,True
/app/DATA/data_scale_exp_2m/unshared,obj1_closer,output/phasevar_4/0/0000_phA01_phB06.png,Is the cyan cube closer to the camera than the green sphere?,No,No,-10.335386276245117,-9.55727481842041,True
/app/DATA/data_scale_exp_2m/unshared,obj1_closer,output/phasevar_4/0/0000_phA01_phB07.png,Is the cyan cube closer to the camera than the green sphere?,No,No,-9.902225494384766,-9.438459396362305,True
/app/DATA/data_scale_exp_2m/unshared,obj1_closer,output/phasevar_4/0/0000_phA01_phB08.png,Is the cyan cube closer to the camera than the green sphere?,No,No,-9.916719436645508,-9.481679916381836,True
/app/DATA/data_scale_exp_2m/unshared,obj1_closer,output/phasevar_4/0/0000_phA01_phB09.png,Is the cyan cube closer to the camera than the green sphere?,No,No,-10.470059394836426,-9.469709396362305,True
/app/DATA/data_scale_exp_2m/unshared,obj1_closer,output/phasevar_4/0/0000_phA01_phB10.png,Is the cyan cube closer to the camera than the green sphere?,No,No,-10.631880760192871,-9.549407005310059,True
/app/DATA/data_scale_exp_2m/unshared,obj1_closer,output/phasevar_4/0/0000_phA01_phB11.png,Is the cyan cube closer to the camera than the green sphere?,No,No,-10.554837226867676,-9.689677238464355,True
/app/DATA/data_scale_exp_2m/unshared,obj1_closer,output/phasevar_4/0/0000_phA01_phB12.png,Is the cyan cube closer to the camera than the green sphere?,No,No,-10.443860054016113,-9.734430313110352,True
/app/DATA/data_scale_exp_2m/unshared,obj1_closer,output/phasevar_4/0/0000_phA01_phB13.png,Is the cyan cube closer to the camera than the green sphere?,No,No,-11.0784273147583,-9.640338897705078,True
/app/DATA/data_scale_exp_2m/unshared,obj1_closer,output/phasevar_4/0/0000_phA01_phB14.png,Is the cyan cube closer to the camera than the green sphere?,No,No,-11.455188751220703,-9.499013900756836,True
/app/DATA/data_scale_exp_2m/unshared,obj1_closer,output/phasevar_4/0/0000_phA01_phB15.png,Is the cyan cube closer to the camera than the green sphere?,No,No,-11.300677299499512,-9.464814186096191,True
/app/DATA/data_scale_exp_2m/unshared,obj1_closer,output/phasevar_4/0/0000_phA02_phB00.png,Is the cyan cube closer to the camera than the green sphere?,No,No,-10.977994918823242,-9.432427406311035,True
/app/DATA/data_scale_exp_2m/unshared,obj1_closer,output/phasevar_4/0/0000_phA02_phB01.png,Is the cyan cube closer to the camera than the green sphere?,No,No,-10.568604469299316,-9.362544059753418,True
/app/DATA/data_scale_exp_2m/unshared,obj1_closer,output/phasevar_4/0/0000_phA02_phB02.png,Is the cyan cube closer to the camera than the green sphere?,No,No,-10.41571044921875,-9.437244415283203,True
/app/DATA/data_scale_exp_2m/unshared,obj1_closer,output/phasevar_4/0/0000_phA02_phB03.png,Is the cyan cube closer to the camera than the green sphere?,No,No,-10.534103393554688,-9.549079895019531,True
/app/DATA/data_scale_exp_2m/unshared,obj1_closer,output/phasevar_4/0/0000_phA02_phB04.png,Is the cyan cube closer to the camera than the green sphere?,No,No,-10.53426742553711,-9.614297866821289,True
/app/DATA/data_scale_exp_2m/unshared,obj1_closer,output/phasevar_4/0/0000_phA02_phB05.png,Is the cyan cube closer to the camera than the green sphere?,No,No,-10.26455020904541,-9.626227378845215,True
/app/DATA/data_scale_exp_2m/unshared,obj1_closer,output/phasevar_4/0/0000_phA02_phB06.png,Is the cyan cube closer to the camera than the green sphere?,No,No,-10.20845890045166,-9.487890243530273,True
/app/DATA/data_scale_exp_2m/unshared,obj1_closer,output/phasevar_4/0/0000_phA02_phB07.png,Is the cyan cube closer to the camera than the green sphere?,No,No,-9.897380828857422,-9.435763359069824,True
/app/DATA/data_scale_exp_2m/unshared,obj1_closer,output/phasevar_4/0/0000_phA02_phB08.png,Is the cyan cube closer to the camera than the green sphere?,No,No,-9.926000595092773,-9.456838607788086,True
/app/DATA/data_scale_exp_2m/unshared,obj1_closer,output/phasevar_4/0/0000_phA02_phB09.png,Is the cyan cube closer to the camera than the green sphere?,No,No,-10.336555480957031,-9.406292915344238,True
/app/DATA/data_scale_exp_2m/unshared,obj1_closer,output/phasevar_4/0/0000_phA02_phB10.png,Is the cyan cube closer to the camera than the green sphere?,No,No,-10.485750198364258,-9.494325637817383,True
/app/DATA/data_scale_exp_2m/unshared,obj1_closer,output/phasevar_4/0/0000_phA02_phB11.png,Is the cyan cube closer to the camera than the green sphere?,No,No,-10.494514465332031,-9.622830390930176,True
/app/DATA/data_scale_exp_2m/unshared,obj1_closer,output/phasevar_4/0/0000_phA02_phB12.png,Is the cyan cube closer to the camera than the green sphere?,No,No,-10.28925609588623,-9.672772407531738,True
/app/DATA/data_scale_exp_2m/unshared,obj1_closer,output/phasevar_4/0/0000_phA02_phB13.png,Is the cyan cube closer to the camera than the green sphere?,No,No,-11.064542770385742,-9.532557487487793,True
/app/DATA/data_scale_exp_2m/unshared,obj1_closer,output/phasevar_4/0/0000_phA02_phB14.png,Is the cyan cube closer to the camera than the green sphere?,No,No,-11.268850326538086,-9.402361869812012,True
/app/DATA/data_scale_exp_2m/unshared,obj1_closer,output/phasevar_4/0/0000_phA02_phB15.png,Is the cyan cube closer to the camera than the green sphere?,No,No,-11.121557235717773,-9.420113563537598,True
/app/DATA/data_scale_exp_2m/unshared,obj1_closer,output/phasevar_4/0/0000_phA03_phB00.png,Is the cyan cube closer to the camera than the green sphere?,No,No,-10.925814628601074,-9.531036376953125,True
/app/DATA/data_scale_exp_2m/unshared,obj1_closer,output/phasevar_4/0/0000_phA03_phB01.png,Is the cyan cube closer to the camera than the green sphere?,No,No,-10.54787540435791,-9.46562671661377,True
/app/DATA/data_scale_exp_2m/unshared,obj1_closer,output/phasevar_4/0/0000_phA03_phB02.png,Is the cyan cube closer to the camera than the green sphere?,No,No,-10.53703784942627,-9.484489440917969,True
/app/DATA/data_scale_exp_2m/unshared,obj1_closer,output/phasevar_4/0/0000_phA03_phB03.png,Is the cyan cube closer to the camera than the green sphere?,No,No,-10.64409351348877,-9.566911697387695,True
/app/DATA/data_scale_exp_2m/unshared,obj1_closer,output/phasevar_4/0/0000_phA03_phB04.png,Is the cyan cube closer to the camera than the green sphere?,No,No,-10.738903999328613,-9.66173267364502,True
/app/DATA/data_scale_exp_2m/unshared,obj1_closer,output/phasevar_4/0/0000_phA03_phB05.png,Is the cyan cube closer to the camera than the green sphere?,No,No,-10.621143341064453,-9.672286987304688,True
/app/DATA/data_scale_exp_2m/unshared,obj1_closer,output/phasevar_4/0/0000_phA03_phB06.png,Is the cyan cube closer to the camera than the green sphere?,No,No,-10.453028678894043,-9.49880599975586,True
/app/DATA/data_scale_exp_2m/unshared,obj1_closer,output/phasevar_4/0/0000_phA03_phB07.png,Is the cyan cube closer to the camera than the green sphere?,No,No,-10.187685012817383,-9.40976333618164,True
/app/DATA/data_scale_exp_2m/unshared,obj1_closer,output/phasevar_4/0/0000_phA03_phB08.png,Is the cyan cube closer to the camera than the green sphere?,No,No,-10.200714111328125,-9.481254577636719,True
/app/DATA/data_scale_exp_2m/unshared,obj1_closer,output/phasevar_4/0/0000_phA03_phB09.png,Is the cyan cube closer to the camera than the green sphere?,No,No,-10.710672378540039,-9.456926345825195,True
/app/DATA/data_scale_exp_2m/unshared,obj1_closer,output/phasevar_4/0/0000_phA03_phB10.png,Is the cyan cube closer to the camera than the green sphere?,No,No,-10.943045616149902,-9.528672218322754,True
