model_path,variant,image,question,ground_truth,prediction,Yes_logit,No_logit,correct
/app/DATA/data_scale_exp_2m/unshared,obj2_farther,output/phasevar/0/0000_phA00_phB00.png,Is the magenta sphere farther from the camera than the blue cube? Answer with yes or no.,No,No,-13.44731330871582,-11.096487045288086,True
/app/DATA/data_scale_exp_2m/unshared,obj2_farther,output/phasevar/0/0000_phA00_phB01.png,Is the magenta sphere farther from the camera than the blue cube? Answer with yes or no.,No,No,-13.647233963012695,-11.208741188049316,True
/app/DATA/data_scale_exp_2m/unshared,obj2_farther,output/phasevar/0/0000_phA00_phB02.png,Is the magenta sphere farther from the camera than the blue cube? Answer with yes or no.,No,No,-14.111565589904785,-11.282575607299805,True
/app/DATA/data_scale_exp_2m/unshared,obj2_farther,output/phasevar/0/0000_phA00_phB03.png,Is the magenta sphere farther from the camera than the blue cube? Answer with yes or no.,No,No,-13.393890380859375,-11.115673065185547,True
/app/DATA/data_scale_exp_2m/unshared,obj2_farther,output/phasevar/0/0000_phA00_phB04.png,Is the magenta sphere farther from the camera than the blue cube? Answer with yes or no.,No,No,-13.41117000579834,-11.113734245300293,True
/app/DATA/data_scale_exp_2m/unshared,obj2_farther,output/phasevar/0/0000_phA00_phB05.png,Is the magenta sphere farther from the camera than the blue cube? Answer with yes or no.,No,No,-13.592818260192871,-11.162405967712402,True
/app/DATA/data_scale_exp_2m/unshared,obj2_farther,output/phasevar/0/0000_phA00_phB06.png,Is the magenta sphere farther from the camera than the blue cube? Answer with yes or no.,No,No,-13.781462669372559,-11.196077346801758,True
/app/DATA/data_scale_exp_2m/unshared,obj2_farther,output/phasevar/0/0000_phA00_phB07.png,Is the magenta sphere farther from the camera than the blue cube? Answer with yes or no.,No,No,-13.747483253479004,-11.232854843139648,True
/app/DATA/data_scale_exp_2m/unshared,obj2_farther,output/phasevar/0/0000_phA00_phB08.png,Is the magenta sphere farther from the camera than the blue cube? Answer with yes or no.,No,No,-13.560220718383789,-11.163187980651855,True
/app/DATA/data_scale_exp_2m/unshared,obj2_farther,output/phasevar/0/0000_phA00_phB09.png,Is the magenta sphere farther from the camera than the blue cube? Answer with yes or no.,No,No,-13.450348854064941,-11.121829986572266,True
/app/DATA/data_scale_exp_2m/unshared,obj2_farther,output/phasevar/0/0000_phA00_phB10.png,Is the magenta sphere farther from the camera than the blue cube? Answer with yes or no.,No,No,-13.62864875793457,-11.175543785095215,True
/app/DATA/data_scale_exp_2m/unshared,obj2_farther,output/phasevar/0/0000_phA00_phB11.png,Is the magenta sphere farther from the camera than the blue cube? Answer with yes or no.,No,No,-13.65753173828125,-11.120113372802734,True
/app/DATA/data_scale_exp_2m/unshared,obj2_farther,output/phasevar/0/0000_phA00_phB12.png,Is the magenta sphere farther from the camera than the blue cube? Answer with yes or no.,No,No,-13.548896789550781,-11.053860664367676,True
/app/DATA/data_scale_exp_2m/unshared,obj2_farther,output/phasevar/0/0000_phA00_phB13.png,Is the magenta sphere farther from the camera than the blue cube? Answer with yes or no.,No,No,-13.454030990600586,-11.095251083374023,True
/app/DATA/data_scale_exp_2m/unshared,obj2_farther,output/phasevar/0/0000_phA00_phB14.png,Is the magenta sphere farther from the camera than the blue cube? Answer with yes or no.,No,No,-13.560880661010742,-11.102767944335938,True
/app/DATA/data_scale_exp_2m/unshared,obj2_farther,output/phasevar/0/0000_phA00_phB15.png,Is the magenta sphere farther from the camera than the blue cube? Answer with yes or no.,No,No,-13.625248908996582,-11.140843391418457,True
/app/DATA/data_scale_exp_2m/unshared,obj2_farther,output/phasevar/0/0000_phA01_phB00.png,Is the magenta sphere farther from the camera than the blue cube? Answer with yes or no.,No,No,-13.272342681884766,-11.019430160522461,True
/app/DATA/data_scale_exp_2m/unshared,obj2_farther,output/phasevar/0/0000_phA01_phB01.png,Is the magenta sphere farther from the camera than the blue cube? Answer with yes or no.,No,No,-13.608711242675781,-11.167051315307617,True
