model_path,variant,image,question,ground_truth,prediction,Yes_logit,No_logit,correct
allenai/Molmo-7B-O-0924,obj2_closer,output/phasevar_4/0/0000_phA00_phB00.png,Is the green sphere closer to the viewer than the cyan cube? Answer with yes or no.,Yes,Yes,-9.492425918579102,-9.555204391479492,True
allenai/Molmo-7B-O-0924,obj2_closer,output/phasevar_4/0/0000_phA00_phB01.png,Is the green sphere closer to the viewer than the cyan cube? Answer with yes or no.,Yes,No,-9.425718307495117,-9.420604705810547,False
allenai/Molmo-7B-O-0924,obj2_closer,output/phasevar_4/0/0000_phA00_phB02.png,Is the green sphere closer to the viewer than the cyan cube? Answer with yes or no.,Yes,No,-9.682891845703125,-9.520390510559082,False
allenai/Molmo-7B-O-0924,obj2_closer,output/phasevar_4/0/0000_phA00_phB03.png,Is the green sphere closer to the viewer than the cyan cube? Answer with yes or no.,Yes,No,-9.65351676940918,-9.430302619934082,False
allenai/Molmo-7B-O-0924,obj2_closer,output/phasevar_4/0/0000_phA00_phB04.png,Is the green sphere closer to the viewer than the cyan cube? Answer with yes or no.,Yes,No,-9.813545227050781,-9.395089149475098,False
allenai/Molmo-7B-O-0924,obj2_closer,output/phasevar_4/0/0000_phA00_phB05.png,Is the green sphere closer to the viewer than the cyan cube? Answer with yes or no.,Yes,No,-9.794166564941406,-9.4669189453125,False
allenai/Molmo-7B-O-0924,obj2_closer,output/phasevar_4/0/0000_phA00_phB06.png,Is the green sphere closer to the viewer than the cyan cube? Answer with yes or no.,Yes,No,-9.732123374938965,-9.544337272644043,False
allenai/Molmo-7B-O-0924,obj2_closer,output/phasevar_4/0/0000_phA00_phB07.png,Is the green sphere closer to the viewer than the cyan cube? Answer with yes or no.,Yes,No,-9.591177940368652,-9.423355102539062,False
allenai/Molmo-7B-O-0924,obj2_closer,output/phasevar_4/0/0000_phA00_phB08.png,Is the green sphere closer to the viewer than the cyan cube? Answer with yes or no.,Yes,Yes,-9.391602516174316,-9.497804641723633,True
allenai/Molmo-7B-O-0924,obj2_closer,output/phasevar_4/0/0000_phA00_phB09.png,Is the green sphere closer to the viewer than the cyan cube? Answer with yes or no.,Yes,No,-9.558989524841309,-9.488138198852539,False
allenai/Molmo-7B-O-0924,obj2_closer,output/phasevar_4/0/0000_phA00_phB10.png,Is the green sphere closer to the viewer than the cyan cube? Answer with yes or no.,Yes,Yes,-9.598194122314453,-9.642546653747559,True
allenai/Molmo-7B-O-0924,obj2_closer,output/phasevar_4/0/0000_phA00_phB11.png,Is the green sphere closer to the viewer than the cyan cube? Answer with yes or no.,Yes,Yes,-9.66423511505127,-9.853130340576172,True
allenai/Molmo-7B-O-0924,obj2_closer,output/phasevar_4/0/0000_phA00_phB12.png,Is the green sphere closer to the viewer than the cyan cube? Answer with yes or no.,Yes,No,-9.67930793762207,-9.674354553222656,False
allenai/Molmo-7B-O-0924,obj2_closer,output/phasevar_4/0/0000_phA00_phB13.png,Is the green sphere closer to the viewer than the cyan cube? Answer with yes or no.,Yes,Yes,-9.58641242980957,-9.736262321472168,True
allenai/Molmo-7B-O-0924,obj2_closer,output/phasevar_4/0/0000_phA00_phB14.png,Is the green sphere closer to the viewer than the cyan cube? Answer with yes or no.,Yes,Yes,-9.469930648803711,-9.511567115783691,True
allenai/Molmo-7B-O-0924,obj2_closer,output/phasevar_4/0/0000_phA00_phB15.png,Is the green sphere closer to the viewer than the cyan cube? Answer with yes or no.,Yes,Yes,-9.567298889160156,-9.657118797302246,True
allenai/Molmo-7B-O-0924,obj2_closer,output/phasevar_4/0/0000_phA01_phB00.png,Is the green sphere closer to the viewer than the cyan cube? Answer with yes or no.,Yes,Yes,-9.582451820373535,-9.681329727172852,True
allenai/Molmo-7B-O-0924,obj2_closer,output/phasevar_4/0/0000_phA01_phB01.png,Is the green sphere closer to the viewer than the cyan cube? Answer with yes or no.,Yes,No,-9.54330062866211,-9.537283897399902,False
allenai/Molmo-7B-O-0924,obj2_closer,output/phasevar_4/0/0000_phA01_phB02.png,Is the green sphere closer to the viewer than the cyan cube? Answer with yes or no.,Yes,Yes,-9.613677024841309,-9.684785842895508,True
allenai/Molmo-7B-O-0924,obj2_closer,output/phasevar_4/0/0000_phA01_phB03.png,Is the green sphere closer to the viewer than the cyan cube? Answer with yes or no.,Yes,No,-9.678168296813965,-9.572590827941895,False
