model_path,variant,image,question,ground_truth,prediction,A_logit,B_logit,correct
/app/DATA/data_scale_exp_2m/unshared,obj1_closer,output/phasevar_3/0/0000_phA00_phB00.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,A,-10.045442581176758,-10.814620018005371,False
/app/DATA/data_scale_exp_2m/unshared,obj1_closer,output/phasevar_3/0/0000_phA00_phB01.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,A,-10.243773460388184,-10.833938598632812,False
/app/DATA/data_scale_exp_2m/unshared,obj1_closer,output/phasevar_3/0/0000_phA00_phB02.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-10.219642639160156,-10.030689239501953,True
/app/DATA/data_scale_exp_2m/unshared,obj1_closer,output/phasevar_3/0/0000_phA00_phB03.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,A,-10.165376663208008,-10.185989379882812,False
/app/DATA/data_scale_exp_2m/unshared,obj1_closer,output/phasevar_3/0/0000_phA00_phB04.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,A,-10.244884490966797,-10.489349365234375,False
/app/DATA/data_scale_exp_2m/unshared,obj1_closer,output/phasevar_3/0/0000_phA00_phB05.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-10.48389720916748,-10.308610916137695,True
/app/DATA/data_scale_exp_2m/unshared,obj1_closer,output/phasevar_3/0/0000_phA00_phB06.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-10.891358375549316,-10.492546081542969,True
/app/DATA/data_scale_exp_2m/unshared,obj1_closer,output/phasevar_3/0/0000_phA00_phB07.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-10.939088821411133,-10.550873756408691,True
/app/DATA/data_scale_exp_2m/unshared,obj1_closer,output/phasevar_3/0/0000_phA00_phB08.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-10.84808349609375,-10.491351127624512,True
/app/DATA/data_scale_exp_2m/unshared,obj1_closer,output/phasevar_3/0/0000_phA00_phB09.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-10.711113929748535,-10.112110137939453,True
/app/DATA/data_scale_exp_2m/unshared,obj1_closer,output/phasevar_3/0/0000_phA00_phB10.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-10.450126647949219,-9.867667198181152,True
/app/DATA/data_scale_exp_2m/unshared,obj1_closer,output/phasevar_3/0/0000_phA00_phB11.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-10.142778396606445,-9.772588729858398,True
/app/DATA/data_scale_exp_2m/unshared,obj1_closer,output/phasevar_3/0/0000_phA00_phB12.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-9.982871055603027,-9.776365280151367,True
/app/DATA/data_scale_exp_2m/unshared,obj1_closer,output/phasevar_3/0/0000_phA00_phB13.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-9.88144588470459,-9.534907341003418,True
/app/DATA/data_scale_exp_2m/unshared,obj1_closer,output/phasevar_3/0/0000_phA00_phB14.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-9.683670997619629,-9.231335639953613,True
/app/DATA/data_scale_exp_2m/unshared,obj1_closer,output/phasevar_3/0/0000_phA00_phB15.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-9.727618217468262,-9.642800331115723,True
/app/DATA/data_scale_exp_2m/unshared,obj1_closer,output/phasevar_3/0/0000_phA01_phB00.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,A,-9.689714431762695,-10.10698127746582,False
/app/DATA/data_scale_exp_2m/unshared,obj1_closer,output/phasevar_3/0/0000_phA01_phB01.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,A,-9.947737693786621,-10.481088638305664,False
/app/DATA/data_scale_exp_2m/unshared,obj1_closer,output/phasevar_3/0/0000_phA01_phB02.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-10.122835159301758,-9.968369483947754,True
/app/DATA/data_scale_exp_2m/unshared,obj1_closer,output/phasevar_3/0/0000_phA01_phB03.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,A,-10.150131225585938,-10.159860610961914,False
/app/DATA/data_scale_exp_2m/unshared,obj1_closer,output/phasevar_3/0/0000_phA01_phB04.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,A,-10.20907974243164,-10.357023239135742,False
/app/DATA/data_scale_exp_2m/unshared,obj1_closer,output/phasevar_3/0/0000_phA01_phB05.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-10.632847785949707,-10.371310234069824,True
/app/DATA/data_scale_exp_2m/unshared,obj1_closer,output/phasevar_3/0/0000_phA01_phB06.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-10.935843467712402,-10.517426490783691,True
/app/DATA/data_scale_exp_2m/unshared,obj1_closer,output/phasevar_3/0/0000_phA01_phB07.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-11.16362190246582,-10.608915328979492,True
/app/DATA/data_scale_exp_2m/unshared,obj1_closer,output/phasevar_3/0/0000_phA01_phB08.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-10.917981147766113,-10.398579597473145,True
/app/DATA/data_scale_exp_2m/unshared,obj1_closer,output/phasevar_3/0/0000_phA01_phB09.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-10.711788177490234,-10.051895141601562,True
/app/DATA/data_scale_exp_2m/unshared,obj1_closer,output/phasevar_3/0/0000_phA01_phB10.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-10.400517463684082,-9.827629089355469,True
/app/DATA/data_scale_exp_2m/unshared,obj1_closer,output/phasevar_3/0/0000_phA01_phB11.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-10.07079029083252,-9.75174617767334,True
/app/DATA/data_scale_exp_2m/unshared,obj1_closer,output/phasevar_3/0/0000_phA01_phB12.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-9.892121315002441,-9.723008155822754,True
/app/DATA/data_scale_exp_2m/unshared,obj1_closer,output/phasevar_3/0/0000_phA01_phB13.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-9.777891159057617,-9.43044376373291,True
/app/DATA/data_scale_exp_2m/unshared,obj1_closer,output/phasevar_3/0/0000_phA01_phB14.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-9.5841064453125,-9.149694442749023,True
/app/DATA/data_scale_exp_2m/unshared,obj1_closer,output/phasevar_3/0/0000_phA01_phB15.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-9.693997383117676,-9.442453384399414,True
/app/DATA/data_scale_exp_2m/unshared,obj1_closer,output/phasevar_3/0/0000_phA02_phB00.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,A,-9.762351036071777,-10.064559936523438,False
/app/DATA/data_scale_exp_2m/unshared,obj1_closer,output/phasevar_3/0/0000_phA02_phB01.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,A,-10.014939308166504,-10.692026138305664,False
/app/DATA/data_scale_exp_2m/unshared,obj1_closer,output/phasevar_3/0/0000_phA02_phB02.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,A,-10.057563781738281,-10.130194664001465,False
/app/DATA/data_scale_exp_2m/unshared,obj1_closer,output/phasevar_3/0/0000_phA02_phB03.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,A,-10.00565242767334,-10.182957649230957,False
/app/DATA/data_scale_exp_2m/unshared,obj1_closer,output/phasevar_3/0/0000_phA02_phB04.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,A,-10.23645305633545,-10.605728149414062,False
/app/DATA/data_scale_exp_2m/unshared,obj1_closer,output/phasevar_3/0/0000_phA02_phB05.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-10.511418342590332,-10.427672386169434,True
/app/DATA/data_scale_exp_2m/unshared,obj1_closer,output/phasevar_3/0/0000_phA02_phB06.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) closer (B) farther. Answer with a single letter: A or B.",B,B,-10.871893882751465,-10.52205753326416,True
