model_path,text,image,Yes_logit,No_logit
allenai/Molmo-7B-O-0924,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h11/0000.png,-9.654950141906738,-10.191414833068848
allenai/Molmo-7B-O-0924,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h11/0001.png,-9.861481666564941,-10.383447647094727
allenai/Molmo-7B-O-0924,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h11/0002.png,-9.938699722290039,-10.425857543945312
allenai/Molmo-7B-O-0924,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h11/0003.png,-9.955711364746094,-10.740297317504883
allenai/Molmo-7B-O-0924,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h11/0004.png,-10.034913063049316,-10.728599548339844
allenai/Molmo-7B-O-0924,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h11/0005.png,-10.04449462890625,-10.561975479125977
allenai/Molmo-7B-O-0924,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h11/0006.png,-10.01245403289795,-10.396074295043945
allenai/Molmo-7B-O-0924,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h11/0007.png,-9.970101356506348,-10.349979400634766
allenai/Molmo-7B-O-0924,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h11/0008.png,-10.006451606750488,-10.062178611755371
allenai/Molmo-7B-O-0924,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h11/0009.png,-10.010595321655273,-10.072027206420898
allenai/Molmo-7B-O-0924,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h11/0010.png,-9.915185928344727,-10.298164367675781
allenai/Molmo-7B-O-0924,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h11/0011.png,-9.960052490234375,-10.33448314666748
allenai/Molmo-7B-O-0924,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h11/0012.png,-9.91693115234375,-10.529884338378906
allenai/Molmo-7B-O-0924,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h11/0013.png,-9.789851188659668,-10.489371299743652
allenai/Molmo-7B-O-0924,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h11/0014.png,-9.800440788269043,-10.195624351501465
allenai/Molmo-7B-O-0924,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h11/0015.png,-9.694829940795898,-10.281557083129883
allenai/Molmo-7B-O-0924,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h11/0016.png,-9.730159759521484,-10.065736770629883
allenai/Molmo-7B-O-0924,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h11/0017.png,-9.85427188873291,-10.319785118103027
allenai/Molmo-7B-O-0924,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h11/0018.png,-9.981069564819336,-10.367104530334473
allenai/Molmo-7B-O-0924,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h11/0019.png,-9.991167068481445,-10.575573921203613
allenai/Molmo-7B-O-0924,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h11/0020.png,-10.093667984008789,-10.643609046936035
allenai/Molmo-7B-O-0924,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h11/0021.png,-10.113025665283203,-10.525383949279785
allenai/Molmo-7B-O-0924,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h11/0022.png,-10.073145866394043,-10.197897911071777
allenai/Molmo-7B-O-0924,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h11/0023.png,-9.947874069213867,-10.1305513381958
