model_path,variant,image,question,ground_truth,prediction,Yes_logit,No_logit,correct
/app/DATA/data_scale_exp_80k/unshared,obj1_closer,output/phasevar_4/0/0000_phA00_phB00.png,Is the cyan cube closer to the camera than the green sphere?,No,Yes,-6.833245277404785,-7.194005012512207,False
/app/DATA/data_scale_exp_80k/unshared,obj1_closer,output/phasevar_4/0/0000_phA00_phB01.png,Is the cyan cube closer to the camera than the green sphere?,No,Yes,-6.802655220031738,-7.246750354766846,False
/app/DATA/data_scale_exp_80k/unshared,obj1_closer,output/phasevar_4/0/0000_phA00_phB02.png,Is the cyan cube closer to the camera than the green sphere?,No,Yes,-6.844351291656494,-7.226384162902832,False
/app/DATA/data_scale_exp_80k/unshared,obj1_closer,output/phasevar_4/0/0000_phA00_phB03.png,Is the cyan cube closer to the camera than the green sphere?,No,Yes,-6.819129943847656,-7.229233741760254,False
/app/DATA/data_scale_exp_80k/unshared,obj1_closer,output/phasevar_4/0/0000_phA00_phB04.png,Is the cyan cube closer to the camera than the green sphere?,No,Yes,-6.843794822692871,-7.257323741912842,False
/app/DATA/data_scale_exp_80k/unshared,obj1_closer,output/phasevar_4/0/0000_phA00_phB05.png,Is the cyan cube closer to the camera than the green sphere?,No,Yes,-6.833741664886475,-7.288091659545898,False
/app/DATA/data_scale_exp_80k/unshared,obj1_closer,output/phasevar_4/0/0000_phA00_phB06.png,Is the cyan cube closer to the camera than the green sphere?,No,Yes,-6.88909387588501,-7.269429683685303,False
/app/DATA/data_scale_exp_80k/unshared,obj1_closer,output/phasevar_4/0/0000_phA00_phB07.png,Is the cyan cube closer to the camera than the green sphere?,No,Yes,-6.830430030822754,-7.283759593963623,False
/app/DATA/data_scale_exp_80k/unshared,obj1_closer,output/phasevar_4/0/0000_phA00_phB08.png,Is the cyan cube closer to the camera than the green sphere?,No,Yes,-6.886368274688721,-7.315345287322998,False
/app/DATA/data_scale_exp_80k/unshared,obj1_closer,output/phasevar_4/0/0000_phA00_phB09.png,Is the cyan cube closer to the camera than the green sphere?,No,Yes,-6.935772895812988,-7.269806861877441,False
/app/DATA/data_scale_exp_80k/unshared,obj1_closer,output/phasevar_4/0/0000_phA00_phB10.png,Is the cyan cube closer to the camera than the green sphere?,No,Yes,-6.876081466674805,-7.24630880355835,False
/app/DATA/data_scale_exp_80k/unshared,obj1_closer,output/phasevar_4/0/0000_phA00_phB11.png,Is the cyan cube closer to the camera than the green sphere?,No,Yes,-6.83042049407959,-7.252752304077148,False
/app/DATA/data_scale_exp_80k/unshared,obj1_closer,output/phasevar_4/0/0000_phA00_phB12.png,Is the cyan cube closer to the camera than the green sphere?,No,Yes,-6.799651622772217,-7.221491813659668,False
/app/DATA/data_scale_exp_80k/unshared,obj1_closer,output/phasevar_4/0/0000_phA00_phB13.png,Is the cyan cube closer to the camera than the green sphere?,No,Yes,-6.83733606338501,-7.203369617462158,False
/app/DATA/data_scale_exp_80k/unshared,obj1_closer,output/phasevar_4/0/0000_phA00_phB14.png,Is the cyan cube closer to the camera than the green sphere?,No,Yes,-6.823250770568848,-7.1600422859191895,False
/app/DATA/data_scale_exp_80k/unshared,obj1_closer,output/phasevar_4/0/0000_phA00_phB15.png,Is the cyan cube closer to the camera than the green sphere?,No,Yes,-6.860195636749268,-7.150784015655518,False
/app/DATA/data_scale_exp_80k/unshared,obj1_closer,output/phasevar_4/0/0000_phA01_phB00.png,Is the cyan cube closer to the camera than the green sphere?,No,Yes,-6.872244834899902,-7.188806056976318,False
