model_path,variant,image,question,ground_truth,prediction,Yes_logit,No_logit,correct
/app/DATA/data_scale_exp_2m/unshared,obj2_closer,output/phasevar/0/0000_phA00_phB00.png,Is the magenta sphere closer to the camera than the blue cube? Answer with yes or no.,Yes,Yes,-8.091170310974121,-12.12042236328125,True
/app/DATA/data_scale_exp_2m/unshared,obj2_closer,output/phasevar/0/0000_phA00_phB01.png,Is the magenta sphere closer to the camera than the blue cube? Answer with yes or no.,Yes,Yes,-8.056132316589355,-11.774188041687012,True
/app/DATA/data_scale_exp_2m/unshared,obj2_closer,output/phasevar/0/0000_phA00_phB02.png,Is the magenta sphere closer to the camera than the blue cube? Answer with yes or no.,Yes,Yes,-8.039347648620605,-12.313041687011719,True
/app/DATA/data_scale_exp_2m/unshared,obj2_closer,output/phasevar/0/0000_phA00_phB03.png,Is the magenta sphere closer to the camera than the blue cube? Answer with yes or no.,Yes,Yes,-8.053200721740723,-11.433805465698242,True
/app/DATA/data_scale_exp_2m/unshared,obj2_closer,output/phasevar/0/0000_phA00_phB04.png,Is the magenta sphere closer to the camera than the blue cube? Answer with yes or no.,Yes,Yes,-8.125499725341797,-11.865830421447754,True
/app/DATA/data_scale_exp_2m/unshared,obj2_closer,output/phasevar/0/0000_phA00_phB05.png,Is the magenta sphere closer to the camera than the blue cube? Answer with yes or no.,Yes,Yes,-8.21394157409668,-11.826534271240234,True
/app/DATA/data_scale_exp_2m/unshared,obj2_closer,output/phasevar/0/0000_phA00_phB06.png,Is the magenta sphere closer to the camera than the blue cube? Answer with yes or no.,Yes,Yes,-8.228619575500488,-11.838141441345215,True
/app/DATA/data_scale_exp_2m/unshared,obj2_closer,output/phasevar/0/0000_phA00_phB07.png,Is the magenta sphere closer to the camera than the blue cube? Answer with yes or no.,Yes,Yes,-8.255782127380371,-11.831504821777344,True
/app/DATA/data_scale_exp_2m/unshared,obj2_closer,output/phasevar/0/0000_phA00_phB08.png,Is the magenta sphere closer to the camera than the blue cube? Answer with yes or no.,Yes,Yes,-8.23631477355957,-12.069127082824707,True
/app/DATA/data_scale_exp_2m/unshared,obj2_closer,output/phasevar/0/0000_phA00_phB09.png,Is the magenta sphere closer to the camera than the blue cube? Answer with yes or no.,Yes,Yes,-8.291450500488281,-12.228304862976074,True
/app/DATA/data_scale_exp_2m/unshared,obj2_closer,output/phasevar/0/0000_phA00_phB10.png,Is the magenta sphere closer to the camera than the blue cube? Answer with yes or no.,Yes,Yes,-8.374629020690918,-12.394291877746582,True
/app/DATA/data_scale_exp_2m/unshared,obj2_closer,output/phasevar/0/0000_phA00_phB11.png,Is the magenta sphere closer to the camera than the blue cube? Answer with yes or no.,Yes,Yes,-8.359996795654297,-12.35818862915039,True
