model_path,variant,image,question,ground_truth,prediction,Yes_logit,No_logit,correct
/app/DATA/data_scale_exp_2m/unshared,obj1_farther,output/phasevar_5/0000_phA00_phB00.png,Is the cyan cube farther from the viewer than the green sphere? Answer with yes or no.,Yes,Yes,-9.537150382995605,-11.529470443725586,True
/app/DATA/data_scale_exp_2m/unshared,obj1_farther,output/phasevar_5/0000_phA00_phB01.png,Is the cyan cube farther from the viewer than the green sphere? Answer with yes or no.,Yes,Yes,-9.512890815734863,-11.538949012756348,True
/app/DATA/data_scale_exp_2m/unshared,obj1_farther,output/phasevar_5/0000_phA00_phB02.png,Is the cyan cube farther from the viewer than the green sphere? Answer with yes or no.,Yes,Yes,-9.489542007446289,-11.599292755126953,True
/app/DATA/data_scale_exp_2m/unshared,obj1_farther,output/phasevar_5/0000_phA00_phB03.png,Is the cyan cube farther from the viewer than the green sphere? Answer with yes or no.,Yes,Yes,-9.59429931640625,-11.64059829711914,True
/app/DATA/data_scale_exp_2m/unshared,obj1_farther,output/phasevar_5/0000_phA00_phB04.png,Is the cyan cube farther from the viewer than the green sphere? Answer with yes or no.,Yes,Yes,-9.564919471740723,-11.726560592651367,True
/app/DATA/data_scale_exp_2m/unshared,obj1_farther,output/phasevar_5/0000_phA00_phB05.png,Is the cyan cube farther from the viewer than the green sphere? Answer with yes or no.,Yes,Yes,-9.482853889465332,-11.81063175201416,True
/app/DATA/data_scale_exp_2m/unshared,obj1_farther,output/phasevar_5/0000_phA00_phB06.png,Is the cyan cube farther from the viewer than the green sphere? Answer with yes or no.,Yes,Yes,-9.356465339660645,-11.808550834655762,True
/app/DATA/data_scale_exp_2m/unshared,obj1_farther,output/phasevar_5/0000_phA00_phB07.png,Is the cyan cube farther from the viewer than the green sphere? Answer with yes or no.,Yes,Yes,-9.374604225158691,-11.741814613342285,True
/app/DATA/data_scale_exp_2m/unshared,obj1_farther,output/phasevar_5/0000_phA00_phB08.png,Is the cyan cube farther from the viewer than the green sphere? Answer with yes or no.,Yes,Yes,-9.495973587036133,-11.493620872497559,True
/app/DATA/data_scale_exp_2m/unshared,obj1_farther,output/phasevar_5/0000_phA00_phB09.png,Is the cyan cube farther from the viewer than the green sphere? Answer with yes or no.,Yes,Yes,-9.512293815612793,-11.653522491455078,True
