model_path,variant,image,question,ground_truth,prediction,Yes_logit,No_logit,correct
/app/DATA/data_scale_exp_400k/unshared,obj2_farther,output/phasevar_4/0/0000_phA00_phB00.png,Is the green sphere farther from the viewer than the cyan cube? Answer with yes or no.,No,No,-9.156195640563965,-8.943490028381348,True
/app/DATA/data_scale_exp_400k/unshared,obj2_farther,output/phasevar_4/0/0000_phA00_phB01.png,Is the green sphere farther from the viewer than the cyan cube? Answer with yes or no.,No,Yes,-9.07524299621582,-9.315415382385254,False
/app/DATA/data_scale_exp_400k/unshared,obj2_farther,output/phasevar_4/0/0000_phA00_phB02.png,Is the green sphere farther from the viewer than the cyan cube? Answer with yes or no.,No,Yes,-9.05045223236084,-9.283563613891602,False
/app/DATA/data_scale_exp_400k/unshared,obj2_farther,output/phasevar_4/0/0000_phA00_phB03.png,Is the green sphere farther from the viewer than the cyan cube? Answer with yes or no.,No,Yes,-9.049129486083984,-9.364259719848633,False
/app/DATA/data_scale_exp_400k/unshared,obj2_farther,output/phasevar_4/0/0000_phA00_phB04.png,Is the green sphere farther from the viewer than the cyan cube? Answer with yes or no.,No,Yes,-9.049789428710938,-9.473749160766602,False
/app/DATA/data_scale_exp_400k/unshared,obj2_farther,output/phasevar_4/0/0000_phA00_phB05.png,Is the green sphere farther from the viewer than the cyan cube? Answer with yes or no.,No,Yes,-9.050247192382812,-9.43662166595459,False
/app/DATA/data_scale_exp_400k/unshared,obj2_farther,output/phasevar_4/0/0000_phA00_phB06.png,Is the green sphere farther from the viewer than the cyan cube? Answer with yes or no.,No,Yes,-9.043314933776855,-9.281060218811035,False
/app/DATA/data_scale_exp_400k/unshared,obj2_farther,output/phasevar_4/0/0000_phA00_phB07.png,Is the green sphere farther from the viewer than the cyan cube? Answer with yes or no.,No,Yes,-9.021568298339844,-9.330917358398438,False
/app/DATA/data_scale_exp_400k/unshared,obj2_farther,output/phasevar_4/0/0000_phA00_phB08.png,Is the green sphere farther from the viewer than the cyan cube? Answer with yes or no.,No,Yes,-9.061634063720703,-9.181477546691895,False
/app/DATA/data_scale_exp_400k/unshared,obj2_farther,output/phasevar_4/0/0000_phA00_phB09.png,Is the green sphere farther from the viewer than the cyan cube? Answer with yes or no.,No,No,-9.133159637451172,-9.005456924438477,True
/app/DATA/data_scale_exp_400k/unshared,obj2_farther,output/phasevar_4/0/0000_phA00_phB10.png,Is the green sphere farther from the viewer than the cyan cube? Answer with yes or no.,No,No,-9.139809608459473,-8.922614097595215,True
/app/DATA/data_scale_exp_400k/unshared,obj2_farther,output/phasevar_4/0/0000_phA00_phB11.png,Is the green sphere farther from the viewer than the cyan cube? Answer with yes or no.,No,No,-9.179948806762695,-8.940265655517578,True
/app/DATA/data_scale_exp_400k/unshared,obj2_farther,output/phasevar_4/0/0000_phA00_phB12.png,Is the green sphere farther from the viewer than the cyan cube? Answer with yes or no.,No,No,-9.207091331481934,-8.911455154418945,True
/app/DATA/data_scale_exp_400k/unshared,obj2_farther,output/phasevar_4/0/0000_phA00_phB13.png,Is the green sphere farther from the viewer than the cyan cube? Answer with yes or no.,No,No,-9.203413009643555,-8.864542007446289,True
/app/DATA/data_scale_exp_400k/unshared,obj2_farther,output/phasevar_4/0/0000_phA00_phB14.png,Is the green sphere farther from the viewer than the cyan cube? Answer with yes or no.,No,No,-9.145421981811523,-8.827678680419922,True
/app/DATA/data_scale_exp_400k/unshared,obj2_farther,output/phasevar_4/0/0000_phA00_phB15.png,Is the green sphere farther from the viewer than the cyan cube? Answer with yes or no.,No,No,-9.14876651763916,-8.920753479003906,True
/app/DATA/data_scale_exp_400k/unshared,obj2_farther,output/phasevar_4/0/0000_phA01_phB00.png,Is the green sphere farther from the viewer than the cyan cube? Answer with yes or no.,No,No,-9.135764122009277,-8.942273139953613,True
/app/DATA/data_scale_exp_400k/unshared,obj2_farther,output/phasevar_4/0/0000_phA01_phB01.png,Is the green sphere farther from the viewer than the cyan cube? Answer with yes or no.,No,Yes,-9.072090148925781,-9.089632034301758,False
/app/DATA/data_scale_exp_400k/unshared,obj2_farther,output/phasevar_4/0/0000_phA01_phB02.png,Is the green sphere farther from the viewer than the cyan cube? Answer with yes or no.,No,Yes,-9.06379222869873,-9.161436080932617,False
/app/DATA/data_scale_exp_400k/unshared,obj2_farther,output/phasevar_4/0/0000_phA01_phB03.png,Is the green sphere farther from the viewer than the cyan cube? Answer with yes or no.,No,Yes,-9.074796676635742,-9.19474983215332,False
/app/DATA/data_scale_exp_400k/unshared,obj2_farther,output/phasevar_4/0/0000_phA01_phB04.png,Is the green sphere farther from the viewer than the cyan cube? Answer with yes or no.,No,Yes,-9.092811584472656,-9.238597869873047,False
/app/DATA/data_scale_exp_400k/unshared,obj2_farther,output/phasevar_4/0/0000_phA01_phB05.png,Is the green sphere farther from the viewer than the cyan cube? Answer with yes or no.,No,Yes,-9.097224235534668,-9.297585487365723,False
