model_path,text,image,Yes_logit,No_logit
/app/DATA/data_scale_exp_400k/unshared,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h13/0000.png,-8.796794891357422,-10.874002456665039
/app/DATA/data_scale_exp_400k/unshared,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h13/0001.png,-8.808571815490723,-11.531609535217285
/app/DATA/data_scale_exp_400k/unshared,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h13/0002.png,-8.747101783752441,-11.304963111877441
/app/DATA/data_scale_exp_400k/unshared,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h13/0003.png,-8.766096115112305,-11.407690048217773
/app/DATA/data_scale_exp_400k/unshared,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h13/0004.png,-8.775543212890625,-11.577503204345703
/app/DATA/data_scale_exp_400k/unshared,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h13/0005.png,-8.826025009155273,-11.714239120483398
/app/DATA/data_scale_exp_400k/unshared,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h13/0006.png,-8.817293167114258,-11.557461738586426
/app/DATA/data_scale_exp_400k/unshared,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h13/0007.png,-8.861374855041504,-11.446683883666992
/app/DATA/data_scale_exp_400k/unshared,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h13/0008.png,-8.850879669189453,-10.901073455810547
/app/DATA/data_scale_exp_400k/unshared,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h13/0009.png,-8.853821754455566,-11.035879135131836
/app/DATA/data_scale_exp_400k/unshared,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h13/0010.png,-8.835826873779297,-11.050766944885254
/app/DATA/data_scale_exp_400k/unshared,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h13/0011.png,-8.819534301757812,-10.832450866699219
/app/DATA/data_scale_exp_400k/unshared,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h13/0012.png,-8.820549964904785,-10.787339210510254
/app/DATA/data_scale_exp_400k/unshared,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h13/0013.png,-8.794878959655762,-10.626205444335938
/app/DATA/data_scale_exp_400k/unshared,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h13/0014.png,-8.743501663208008,-10.538575172424316
/app/DATA/data_scale_exp_400k/unshared,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h13/0015.png,-8.788641929626465,-10.758968353271484
/app/DATA/data_scale_exp_400k/unshared,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h13/0016.png,-8.824886322021484,-10.473458290100098
/app/DATA/data_scale_exp_400k/unshared,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h13/0017.png,-8.811126708984375,-11.36653995513916
/app/DATA/data_scale_exp_400k/unshared,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h13/0018.png,-8.7486572265625,-11.103960037231445
/app/DATA/data_scale_exp_400k/unshared,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h13/0019.png,-8.796431541442871,-11.261944770812988
/app/DATA/data_scale_exp_400k/unshared,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h13/0020.png,-8.792064666748047,-11.440289497375488
/app/DATA/data_scale_exp_400k/unshared,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h13/0021.png,-8.816105842590332,-11.4199800491333
/app/DATA/data_scale_exp_400k/unshared,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h13/0022.png,-8.831145286560059,-11.342339515686035
/app/DATA/data_scale_exp_400k/unshared,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h13/0023.png,-8.847481727600098,-11.116415977478027
/app/DATA/data_scale_exp_400k/unshared,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h13/0024.png,-8.869030952453613,-10.60776138305664
/app/DATA/data_scale_exp_400k/unshared,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h13/0025.png,-8.895956039428711,-10.789396286010742
/app/DATA/data_scale_exp_400k/unshared,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h13/0026.png,-8.870369911193848,-10.835835456848145
/app/DATA/data_scale_exp_400k/unshared,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h13/0027.png,-8.88528823852539,-10.651759147644043
/app/DATA/data_scale_exp_400k/unshared,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h13/0028.png,-8.847182273864746,-10.699603080749512
/app/DATA/data_scale_exp_400k/unshared,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h13/0029.png,-8.828269004821777,-10.414791107177734
/app/DATA/data_scale_exp_400k/unshared,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h13/0030.png,-8.774656295776367,-10.183117866516113
/app/DATA/data_scale_exp_400k/unshared,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h13/0031.png,-8.824335098266602,-10.594159126281738
/app/DATA/data_scale_exp_400k/unshared,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h13/0032.png,-8.84330940246582,-10.306593894958496
/app/DATA/data_scale_exp_400k/unshared,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h13/0033.png,-8.8092041015625,-10.9905366897583
/app/DATA/data_scale_exp_400k/unshared,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h13/0034.png,-8.717879295349121,-10.848701477050781
/app/DATA/data_scale_exp_400k/unshared,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h13/0035.png,-8.76093864440918,-11.128104209899902
/app/DATA/data_scale_exp_400k/unshared,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h13/0036.png,-8.759783744812012,-11.264375686645508
/app/DATA/data_scale_exp_400k/unshared,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h13/0037.png,-8.817255020141602,-11.400546073913574
/app/DATA/data_scale_exp_400k/unshared,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h13/0038.png,-8.82441234588623,-11.275309562683105
/app/DATA/data_scale_exp_400k/unshared,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h13/0039.png,-8.856698989868164,-10.945322036743164
/app/DATA/data_scale_exp_400k/unshared,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h13/0040.png,-8.897459983825684,-10.681221008300781
/app/DATA/data_scale_exp_400k/unshared,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h13/0041.png,-8.917501449584961,-10.832695960998535
/app/DATA/data_scale_exp_400k/unshared,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h13/0042.png,-8.886285781860352,-10.871434211730957
/app/DATA/data_scale_exp_400k/unshared,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h13/0043.png,-8.876008987426758,-10.746190071105957
/app/DATA/data_scale_exp_400k/unshared,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h13/0044.png,-8.865142822265625,-10.73879623413086
/app/DATA/data_scale_exp_400k/unshared,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h13/0045.png,-8.861661911010742,-10.587837219238281
/app/DATA/data_scale_exp_400k/unshared,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h13/0046.png,-8.825557708740234,-10.352505683898926
/app/DATA/data_scale_exp_400k/unshared,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h13/0047.png,-8.825498580932617,-10.593859672546387
/app/DATA/data_scale_exp_400k/unshared,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h13/0048.png,-8.879120826721191,-10.498061180114746
/app/DATA/data_scale_exp_400k/unshared,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h13/0049.png,-8.831430435180664,-10.973245620727539
/app/DATA/data_scale_exp_400k/unshared,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h13/0050.png,-8.779037475585938,-10.892712593078613
/app/DATA/data_scale_exp_400k/unshared,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h13/0051.png,-8.791177749633789,-10.8421049118042
/app/DATA/data_scale_exp_400k/unshared,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h13/0052.png,-8.82660961151123,-10.958083152770996
/app/DATA/data_scale_exp_400k/unshared,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h13/0053.png,-8.828996658325195,-11.05555248260498
/app/DATA/data_scale_exp_400k/unshared,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h13/0054.png,-8.840703010559082,-10.95383358001709
/app/DATA/data_scale_exp_400k/unshared,Is the red sphere closer to the camera than the blue sphere? Answer with yes or no.,h13/0055.png,-8.912598609924316,-10.745166778564453
