metric	value
mean_p_correct	0.5003231301013089
min_p_correct	0.2622935065966823
max_p_correct	0.7711399532052208
rmse_avg	0.3432976552581916
obj1_top	0.540280046488471
obj1_bottom	0.47636965026073774
obj1_delta_bottom_vs_top	-0.06391039622773331
obj2_top	0.3283198465758595
obj2_bottom	0.6862787811699185
obj2_delta_bottom_vs_top	0.357958934594059
obj1_right	0.4927941827822222
obj1_left	0.4912757709065005
obj1_delta_left_vs_right	-0.0015184118757217147
obj2_right	0.49267738056897165
obj2_left	0.5153096240584475
obj2_delta_left_vs_right	0.022632243489475845
o1top_o2bot	0.7154678062365477
o1bot_o2top	0.31795462301017674
delta_o1top_o2bot_vs_o1bot_o2top	0.39751318322637097
