model_path,variant,image,question,ground_truth,prediction,A_logit,B_logit,correct
/app/DATA/data_scale_exp_400k/unshared,obj1_farther,output/phasevar_3/0/0000_phA00_phB00.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) farther (B) closer. Answer with a single letter: A or B.",A,B,-9.803531646728516,-9.218892097473145,False
/app/DATA/data_scale_exp_400k/unshared,obj1_farther,output/phasevar_3/0/0000_phA00_phB01.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) farther (B) closer. Answer with a single letter: A or B.",A,B,-9.579651832580566,-8.85704517364502,False
/app/DATA/data_scale_exp_400k/unshared,obj1_farther,output/phasevar_3/0/0000_phA00_phB02.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) farther (B) closer. Answer with a single letter: A or B.",A,B,-9.565594673156738,-8.802267074584961,False
/app/DATA/data_scale_exp_400k/unshared,obj1_farther,output/phasevar_3/0/0000_phA00_phB03.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) farther (B) closer. Answer with a single letter: A or B.",A,B,-9.51323127746582,-8.752214431762695,False
/app/DATA/data_scale_exp_400k/unshared,obj1_farther,output/phasevar_3/0/0000_phA00_phB04.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) farther (B) closer. Answer with a single letter: A or B.",A,B,-9.5736665725708,-8.84194564819336,False
/app/DATA/data_scale_exp_400k/unshared,obj1_farther,output/phasevar_3/0/0000_phA00_phB05.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) farther (B) closer. Answer with a single letter: A or B.",A,B,-9.699968338012695,-9.044193267822266,False
/app/DATA/data_scale_exp_400k/unshared,obj1_farther,output/phasevar_3/0/0000_phA00_phB06.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) farther (B) closer. Answer with a single letter: A or B.",A,B,-9.879890441894531,-9.293513298034668,False
/app/DATA/data_scale_exp_400k/unshared,obj1_farther,output/phasevar_3/0/0000_phA00_phB07.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) farther (B) closer. Answer with a single letter: A or B.",A,B,-9.922940254211426,-9.390172004699707,False
/app/DATA/data_scale_exp_400k/unshared,obj1_farther,output/phasevar_3/0/0000_phA00_phB08.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) farther (B) closer. Answer with a single letter: A or B.",A,B,-10.002781867980957,-9.49929428100586,False
/app/DATA/data_scale_exp_400k/unshared,obj1_farther,output/phasevar_3/0/0000_phA00_phB09.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) farther (B) closer. Answer with a single letter: A or B.",A,B,-10.007147789001465,-9.54723072052002,False
/app/DATA/data_scale_exp_400k/unshared,obj1_farther,output/phasevar_3/0/0000_phA00_phB10.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) farther (B) closer. Answer with a single letter: A or B.",A,B,-10.13008975982666,-9.696046829223633,False
/app/DATA/data_scale_exp_400k/unshared,obj1_farther,output/phasevar_3/0/0000_phA00_phB11.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) farther (B) closer. Answer with a single letter: A or B.",A,B,-10.235254287719727,-9.855778694152832,False
/app/DATA/data_scale_exp_400k/unshared,obj1_farther,output/phasevar_3/0/0000_phA00_phB12.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) farther (B) closer. Answer with a single letter: A or B.",A,B,-10.341973304748535,-10.01278018951416,False
/app/DATA/data_scale_exp_400k/unshared,obj1_farther,output/phasevar_3/0/0000_phA00_phB13.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) farther (B) closer. Answer with a single letter: A or B.",A,B,-10.395278930664062,-10.085332870483398,False
/app/DATA/data_scale_exp_400k/unshared,obj1_farther,output/phasevar_3/0/0000_phA00_phB14.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) farther (B) closer. Answer with a single letter: A or B.",A,B,-10.131053924560547,-9.747835159301758,False
/app/DATA/data_scale_exp_400k/unshared,obj1_farther,output/phasevar_3/0/0000_phA00_phB15.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) farther (B) closer. Answer with a single letter: A or B.",A,B,-10.024062156677246,-9.578774452209473,False
/app/DATA/data_scale_exp_400k/unshared,obj1_farther,output/phasevar_3/0/0000_phA01_phB00.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) farther (B) closer. Answer with a single letter: A or B.",A,B,-9.923916816711426,-9.412132263183594,False
/app/DATA/data_scale_exp_400k/unshared,obj1_farther,output/phasevar_3/0/0000_phA01_phB01.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) farther (B) closer. Answer with a single letter: A or B.",A,B,-9.653268814086914,-8.985442161560059,False
/app/DATA/data_scale_exp_400k/unshared,obj1_farther,output/phasevar_3/0/0000_phA01_phB02.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) farther (B) closer. Answer with a single letter: A or B.",A,B,-9.592947006225586,-8.87861442565918,False
/app/DATA/data_scale_exp_400k/unshared,obj1_farther,output/phasevar_3/0/0000_phA01_phB03.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) farther (B) closer. Answer with a single letter: A or B.",A,B,-9.541264533996582,-8.810373306274414,False
/app/DATA/data_scale_exp_400k/unshared,obj1_farther,output/phasevar_3/0/0000_phA01_phB04.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) farther (B) closer. Answer with a single letter: A or B.",A,B,-9.58609390258789,-8.895822525024414,False
/app/DATA/data_scale_exp_400k/unshared,obj1_farther,output/phasevar_3/0/0000_phA01_phB05.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) farther (B) closer. Answer with a single letter: A or B.",A,B,-9.803391456604004,-9.211063385009766,False
/app/DATA/data_scale_exp_400k/unshared,obj1_farther,output/phasevar_3/0/0000_phA01_phB06.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) farther (B) closer. Answer with a single letter: A or B.",A,B,-9.939023971557617,-9.380617141723633,False
/app/DATA/data_scale_exp_400k/unshared,obj1_farther,output/phasevar_3/0/0000_phA01_phB07.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) farther (B) closer. Answer with a single letter: A or B.",A,B,-9.938920974731445,-9.41164779663086,False
/app/DATA/data_scale_exp_400k/unshared,obj1_farther,output/phasevar_3/0/0000_phA01_phB08.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) farther (B) closer. Answer with a single letter: A or B.",A,B,-10.06684684753418,-9.596952438354492,False
/app/DATA/data_scale_exp_400k/unshared,obj1_farther,output/phasevar_3/0/0000_phA01_phB09.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) farther (B) closer. Answer with a single letter: A or B.",A,B,-10.018152236938477,-9.558633804321289,False
/app/DATA/data_scale_exp_400k/unshared,obj1_farther,output/phasevar_3/0/0000_phA01_phB10.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) farther (B) closer. Answer with a single letter: A or B.",A,B,-10.220300674438477,-9.798238754272461,False
/app/DATA/data_scale_exp_400k/unshared,obj1_farther,output/phasevar_3/0/0000_phA01_phB11.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) farther (B) closer. Answer with a single letter: A or B.",A,B,-10.272063255310059,-9.891311645507812,False
/app/DATA/data_scale_exp_400k/unshared,obj1_farther,output/phasevar_3/0/0000_phA01_phB12.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) farther (B) closer. Answer with a single letter: A or B.",A,B,-10.31756591796875,-9.962751388549805,False
/app/DATA/data_scale_exp_400k/unshared,obj1_farther,output/phasevar_3/0/0000_phA01_phB13.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) farther (B) closer. Answer with a single letter: A or B.",A,B,-10.307116508483887,-9.963889122009277,False
/app/DATA/data_scale_exp_400k/unshared,obj1_farther,output/phasevar_3/0/0000_phA01_phB14.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) farther (B) closer. Answer with a single letter: A or B.",A,B,-10.129687309265137,-9.739639282226562,False
/app/DATA/data_scale_exp_400k/unshared,obj1_farther,output/phasevar_3/0/0000_phA01_phB15.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) farther (B) closer. Answer with a single letter: A or B.",A,B,-10.020874977111816,-9.582064628601074,False
/app/DATA/data_scale_exp_400k/unshared,obj1_farther,output/phasevar_3/0/0000_phA02_phB00.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) farther (B) closer. Answer with a single letter: A or B.",A,B,-9.970297813415527,-9.50774097442627,False
/app/DATA/data_scale_exp_400k/unshared,obj1_farther,output/phasevar_3/0/0000_phA02_phB01.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) farther (B) closer. Answer with a single letter: A or B.",A,B,-9.84791374206543,-9.28527545928955,False
/app/DATA/data_scale_exp_400k/unshared,obj1_farther,output/phasevar_3/0/0000_phA02_phB02.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) farther (B) closer. Answer with a single letter: A or B.",A,B,-9.629501342773438,-8.941974639892578,False
/app/DATA/data_scale_exp_400k/unshared,obj1_farther,output/phasevar_3/0/0000_phA02_phB03.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) farther (B) closer. Answer with a single letter: A or B.",A,B,-9.676592826843262,-9.02514934539795,False
/app/DATA/data_scale_exp_400k/unshared,obj1_farther,output/phasevar_3/0/0000_phA02_phB04.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) farther (B) closer. Answer with a single letter: A or B.",A,B,-9.742557525634766,-9.12066650390625,False
/app/DATA/data_scale_exp_400k/unshared,obj1_farther,output/phasevar_3/0/0000_phA02_phB05.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) farther (B) closer. Answer with a single letter: A or B.",A,B,-9.898962020874023,-9.360025405883789,False
/app/DATA/data_scale_exp_400k/unshared,obj1_farther,output/phasevar_3/0/0000_phA02_phB06.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) farther (B) closer. Answer with a single letter: A or B.",A,B,-10.017831802368164,-9.493729591369629,False
/app/DATA/data_scale_exp_400k/unshared,obj1_farther,output/phasevar_3/0/0000_phA02_phB07.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) farther (B) closer. Answer with a single letter: A or B.",A,B,-10.029074668884277,-9.542064666748047,False
/app/DATA/data_scale_exp_400k/unshared,obj1_farther,output/phasevar_3/0/0000_phA02_phB08.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) farther (B) closer. Answer with a single letter: A or B.",A,B,-10.050577163696289,-9.609107971191406,False
/app/DATA/data_scale_exp_400k/unshared,obj1_farther,output/phasevar_3/0/0000_phA02_phB09.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) farther (B) closer. Answer with a single letter: A or B.",A,B,-10.01186752319336,-9.56652545928955,False
/app/DATA/data_scale_exp_400k/unshared,obj1_farther,output/phasevar_3/0/0000_phA02_phB10.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) farther (B) closer. Answer with a single letter: A or B.",A,B,-10.205634117126465,-9.803316116333008,False
/app/DATA/data_scale_exp_400k/unshared,obj1_farther,output/phasevar_3/0/0000_phA02_phB11.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) farther (B) closer. Answer with a single letter: A or B.",A,B,-10.27319622039795,-9.909783363342285,False
/app/DATA/data_scale_exp_400k/unshared,obj1_farther,output/phasevar_3/0/0000_phA02_phB12.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) farther (B) closer. Answer with a single letter: A or B.",A,B,-10.330412864685059,-10.000083923339844,False
/app/DATA/data_scale_exp_400k/unshared,obj1_farther,output/phasevar_3/0/0000_phA02_phB13.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) farther (B) closer. Answer with a single letter: A or B.",A,B,-10.329975128173828,-10.024992942810059,False
/app/DATA/data_scale_exp_400k/unshared,obj1_farther,output/phasevar_3/0/0000_phA02_phB14.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) farther (B) closer. Answer with a single letter: A or B.",A,B,-10.13918685913086,-9.780853271484375,False
/app/DATA/data_scale_exp_400k/unshared,obj1_farther,output/phasevar_3/0/0000_phA02_phB15.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) farther (B) closer. Answer with a single letter: A or B.",A,B,-10.042336463928223,-9.627307891845703,False
/app/DATA/data_scale_exp_400k/unshared,obj1_farther,output/phasevar_3/0/0000_phA03_phB00.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) farther (B) closer. Answer with a single letter: A or B.",A,B,-10.003684043884277,-9.47773551940918,False
/app/DATA/data_scale_exp_400k/unshared,obj1_farther,output/phasevar_3/0/0000_phA03_phB01.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) farther (B) closer. Answer with a single letter: A or B.",A,B,-9.859461784362793,-9.240474700927734,False
/app/DATA/data_scale_exp_400k/unshared,obj1_farther,output/phasevar_3/0/0000_phA03_phB02.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) farther (B) closer. Answer with a single letter: A or B.",A,B,-9.681258201599121,-8.955648422241211,False
/app/DATA/data_scale_exp_400k/unshared,obj1_farther,output/phasevar_3/0/0000_phA03_phB03.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) farther (B) closer. Answer with a single letter: A or B.",A,B,-9.597085952758789,-8.865867614746094,False
/app/DATA/data_scale_exp_400k/unshared,obj1_farther,output/phasevar_3/0/0000_phA03_phB04.png,"Compared to the magenta cube, is the green sphere closer to the camera or farther from the camera? (A) farther (B) closer. Answer with a single letter: A or B.",A,B,-9.749820709228516,-9.098183631896973,False
