model_path,variant,image,question,ground_truth,prediction,Yes_logit,No_logit,correct
/app/DATA/data_scale_exp_2m/unshared,obj2_closer,output/phasevar_5/0000_phA00_phB00.png,Is the green sphere closer to the viewer than the cyan cube? Answer with yes or no.,Yes,Yes,-8.428363800048828,-12.115607261657715,True
/app/DATA/data_scale_exp_2m/unshared,obj2_closer,output/phasevar_5/0000_phA00_phB01.png,Is the green sphere closer to the viewer than the cyan cube? Answer with yes or no.,Yes,Yes,-8.536648750305176,-11.707380294799805,True
/app/DATA/data_scale_exp_2m/unshared,obj2_closer,output/phasevar_5/0000_phA00_phB02.png,Is the green sphere closer to the viewer than the cyan cube? Answer with yes or no.,Yes,Yes,-8.497248649597168,-11.698683738708496,True
/app/DATA/data_scale_exp_2m/unshared,obj2_closer,output/phasevar_5/0000_phA00_phB03.png,Is the green sphere closer to the viewer than the cyan cube? Answer with yes or no.,Yes,Yes,-8.648731231689453,-11.481475830078125,True
/app/DATA/data_scale_exp_2m/unshared,obj2_closer,output/phasevar_5/0000_phA00_phB04.png,Is the green sphere closer to the viewer than the cyan cube? Answer with yes or no.,Yes,Yes,-8.683643341064453,-11.68667984008789,True
/app/DATA/data_scale_exp_2m/unshared,obj2_closer,output/phasevar_5/0000_phA00_phB05.png,Is the green sphere closer to the viewer than the cyan cube? Answer with yes or no.,Yes,Yes,-8.752336502075195,-11.608186721801758,True
/app/DATA/data_scale_exp_2m/unshared,obj2_closer,output/phasevar_5/0000_phA00_phB06.png,Is the green sphere closer to the viewer than the cyan cube? Answer with yes or no.,Yes,Yes,-8.5833158493042,-11.737082481384277,True
/app/DATA/data_scale_exp_2m/unshared,obj2_closer,output/phasevar_5/0000_phA00_phB07.png,Is the green sphere closer to the viewer than the cyan cube? Answer with yes or no.,Yes,Yes,-8.637300491333008,-11.663402557373047,True
/app/DATA/data_scale_exp_2m/unshared,obj2_closer,output/phasevar_5/0000_phA00_phB08.png,Is the green sphere closer to the viewer than the cyan cube? Answer with yes or no.,Yes,Yes,-8.693866729736328,-11.711602210998535,True
/app/DATA/data_scale_exp_2m/unshared,obj2_closer,output/phasevar_5/0000_phA00_phB09.png,Is the green sphere closer to the viewer than the cyan cube? Answer with yes or no.,Yes,Yes,-8.567671775817871,-12.19394588470459,True
/app/DATA/data_scale_exp_2m/unshared,obj2_closer,output/phasevar_5/0000_phA00_phB10.png,Is the green sphere closer to the viewer than the cyan cube? Answer with yes or no.,Yes,Yes,-8.479564666748047,-12.278521537780762,True
/app/DATA/data_scale_exp_2m/unshared,obj2_closer,output/phasevar_5/0000_phA00_phB11.png,Is the green sphere closer to the viewer than the cyan cube? Answer with yes or no.,Yes,Yes,-8.575189590454102,-12.10042953491211,True
/app/DATA/data_scale_exp_2m/unshared,obj2_closer,output/phasevar_5/0000_phA00_phB12.png,Is the green sphere closer to the viewer than the cyan cube? Answer with yes or no.,Yes,Yes,-8.5823974609375,-12.040428161621094,True
/app/DATA/data_scale_exp_2m/unshared,obj2_closer,output/phasevar_5/0000_phA00_phB13.png,Is the green sphere closer to the viewer than the cyan cube? Answer with yes or no.,Yes,Yes,-8.55855655670166,-11.976311683654785,True
/app/DATA/data_scale_exp_2m/unshared,obj2_closer,output/phasevar_5/0000_phA00_phB14.png,Is the green sphere closer to the viewer than the cyan cube? Answer with yes or no.,Yes,Yes,-8.419901847839355,-12.566120147705078,True
/app/DATA/data_scale_exp_2m/unshared,obj2_closer,output/phasevar_5/0000_phA00_phB15.png,Is the green sphere closer to the viewer than the cyan cube? Answer with yes or no.,Yes,Yes,-8.518494606018066,-12.226679801940918,True
/app/DATA/data_scale_exp_2m/unshared,obj2_closer,output/phasevar_5/0000_phA01_phB00.png,Is the green sphere closer to the viewer than the cyan cube? Answer with yes or no.,Yes,Yes,-8.398298263549805,-12.38980770111084,True
/app/DATA/data_scale_exp_2m/unshared,obj2_closer,output/phasevar_5/0000_phA01_phB01.png,Is the green sphere closer to the viewer than the cyan cube? Answer with yes or no.,Yes,Yes,-8.34363842010498,-12.00142765045166,True
/app/DATA/data_scale_exp_2m/unshared,obj2_closer,output/phasevar_5/0000_phA01_phB02.png,Is the green sphere closer to the viewer than the cyan cube? Answer with yes or no.,Yes,Yes,-8.38474178314209,-11.984560012817383,True
