model_path,variant,image,question,ground_truth,prediction,Yes_logit,No_logit,correct
/app/DATA/data_scale_exp_80k/unshared,obj2_closer,output/phasevar/0/0000_phA00_phB00.png,Is the magenta sphere closer to the camera than the blue cube? Answer with yes or no.,Yes,Yes,-9.159520149230957,-10.110492706298828,True
/app/DATA/data_scale_exp_80k/unshared,obj2_closer,output/phasevar/0/0000_phA00_phB01.png,Is the magenta sphere closer to the camera than the blue cube? Answer with yes or no.,Yes,Yes,-9.147269248962402,-10.054953575134277,True
/app/DATA/data_scale_exp_80k/unshared,obj2_closer,output/phasevar/0/0000_phA00_phB02.png,Is the magenta sphere closer to the camera than the blue cube? Answer with yes or no.,Yes,Yes,-9.144841194152832,-10.050686836242676,True
/app/DATA/data_scale_exp_80k/unshared,obj2_closer,output/phasevar/0/0000_phA00_phB03.png,Is the magenta sphere closer to the camera than the blue cube? Answer with yes or no.,Yes,Yes,-9.179685592651367,-10.034050941467285,True
/app/DATA/data_scale_exp_80k/unshared,obj2_closer,output/phasevar/0/0000_phA00_phB04.png,Is the magenta sphere closer to the camera than the blue cube? Answer with yes or no.,Yes,Yes,-9.198691368103027,-10.023030281066895,True
/app/DATA/data_scale_exp_80k/unshared,obj2_closer,output/phasevar/0/0000_phA00_phB05.png,Is the magenta sphere closer to the camera than the blue cube? Answer with yes or no.,Yes,Yes,-9.204718589782715,-10.056015014648438,True
/app/DATA/data_scale_exp_80k/unshared,obj2_closer,output/phasevar/0/0000_phA00_phB06.png,Is the magenta sphere closer to the camera than the blue cube? Answer with yes or no.,Yes,Yes,-9.154773712158203,-9.996360778808594,True
/app/DATA/data_scale_exp_80k/unshared,obj2_closer,output/phasevar/0/0000_phA00_phB07.png,Is the magenta sphere closer to the camera than the blue cube? Answer with yes or no.,Yes,Yes,-9.17580795288086,-10.096497535705566,True
/app/DATA/data_scale_exp_80k/unshared,obj2_closer,output/phasevar/0/0000_phA00_phB08.png,Is the magenta sphere closer to the camera than the blue cube? Answer with yes or no.,Yes,Yes,-9.18490982055664,-10.145779609680176,True
/app/DATA/data_scale_exp_80k/unshared,obj2_closer,output/phasevar/0/0000_phA00_phB09.png,Is the magenta sphere closer to the camera than the blue cube? Answer with yes or no.,Yes,Yes,-9.190530776977539,-10.175317764282227,True
/app/DATA/data_scale_exp_80k/unshared,obj2_closer,output/phasevar/0/0000_phA00_phB10.png,Is the magenta sphere closer to the camera than the blue cube? Answer with yes or no.,Yes,Yes,-9.151761054992676,-10.136107444763184,True
/app/DATA/data_scale_exp_80k/unshared,obj2_closer,output/phasevar/0/0000_phA00_phB11.png,Is the magenta sphere closer to the camera than the blue cube? Answer with yes or no.,Yes,Yes,-9.210040092468262,-10.219265937805176,True
/app/DATA/data_scale_exp_80k/unshared,obj2_closer,output/phasevar/0/0000_phA00_phB12.png,Is the magenta sphere closer to the camera than the blue cube? Answer with yes or no.,Yes,Yes,-9.223630905151367,-10.218035697937012,True
/app/DATA/data_scale_exp_80k/unshared,obj2_closer,output/phasevar/0/0000_phA00_phB13.png,Is the magenta sphere closer to the camera than the blue cube? Answer with yes or no.,Yes,Yes,-9.20280647277832,-10.228402137756348,True
/app/DATA/data_scale_exp_80k/unshared,obj2_closer,output/phasevar/0/0000_phA00_phB14.png,Is the magenta sphere closer to the camera than the blue cube? Answer with yes or no.,Yes,Yes,-9.13814640045166,-10.110759735107422,True
/app/DATA/data_scale_exp_80k/unshared,obj2_closer,output/phasevar/0/0000_phA00_phB15.png,Is the magenta sphere closer to the camera than the blue cube? Answer with yes or no.,Yes,Yes,-9.186213493347168,-10.211400032043457,True
