metric	value
mean_p_correct	0.5698004367070271
min_p_correct	0.1312929396484476
max_p_correct	0.9124581666100106
rmse_avg	0.28496132365991234
obj1_top	0.624035774770678
obj1_bottom	0.501952921245213
obj1_delta_bottom_vs_top	-0.122082853525465
obj2_top	0.32462391635982374
obj2_bottom	0.8291130906648038
obj2_delta_bottom_vs_top	0.50448917430498
obj1_right	0.5994242295118088
obj1_left	0.5327576506688396
obj1_delta_left_vs_right	-0.06666657884296923
obj2_right	0.49444158971254454
obj2_left	0.6623440667925882
obj2_delta_left_vs_right	0.16790247708004363
o1top_o2bot	0.8354356823860649
o1bot_o2top	0.24930928674388542
delta_o1top_o2bot_vs_o1bot_o2top	0.5861263956421795
