model_path,variant,image,question,ground_truth,prediction,Yes_logit,No_logit,correct
allenai/Molmo-7B-O-0924,obj2_closer,output/phasevar_4/0/0000_phA00_phB00.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,No,-9.698437690734863,-9.485631942749023,False
allenai/Molmo-7B-O-0924,obj2_closer,output/phasevar_4/0/0000_phA00_phB01.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,No,-9.603677749633789,-9.432991981506348,False
allenai/Molmo-7B-O-0924,obj2_closer,output/phasevar_4/0/0000_phA00_phB02.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,No,-9.857017517089844,-9.452315330505371,False
allenai/Molmo-7B-O-0924,obj2_closer,output/phasevar_4/0/0000_phA00_phB03.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,No,-9.800870895385742,-9.519416809082031,False
allenai/Molmo-7B-O-0924,obj2_closer,output/phasevar_4/0/0000_phA00_phB04.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,No,-9.951985359191895,-9.552022933959961,False
allenai/Molmo-7B-O-0924,obj2_closer,output/phasevar_4/0/0000_phA00_phB05.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,No,-9.915767669677734,-9.591047286987305,False
allenai/Molmo-7B-O-0924,obj2_closer,output/phasevar_4/0/0000_phA00_phB06.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,No,-9.872919082641602,-9.520594596862793,False
allenai/Molmo-7B-O-0924,obj2_closer,output/phasevar_4/0/0000_phA00_phB07.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,No,-9.78704833984375,-9.462884902954102,False
allenai/Molmo-7B-O-0924,obj2_closer,output/phasevar_4/0/0000_phA00_phB08.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,No,-9.600031852722168,-9.513833045959473,False
allenai/Molmo-7B-O-0924,obj2_closer,output/phasevar_4/0/0000_phA00_phB09.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,No,-9.790399551391602,-9.455911636352539,False
allenai/Molmo-7B-O-0924,obj2_closer,output/phasevar_4/0/0000_phA00_phB10.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,No,-9.760887145996094,-9.566106796264648,False
allenai/Molmo-7B-O-0924,obj2_closer,output/phasevar_4/0/0000_phA00_phB11.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,Yes,-9.788450241088867,-9.875208854675293,True
allenai/Molmo-7B-O-0924,obj2_closer,output/phasevar_4/0/0000_phA00_phB12.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,No,-9.820169448852539,-9.694023132324219,False
allenai/Molmo-7B-O-0924,obj2_closer,output/phasevar_4/0/0000_phA00_phB13.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,No,-9.71414566040039,-9.693084716796875,False
allenai/Molmo-7B-O-0924,obj2_closer,output/phasevar_4/0/0000_phA00_phB14.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,No,-9.631338119506836,-9.461708068847656,False
allenai/Molmo-7B-O-0924,obj2_closer,output/phasevar_4/0/0000_phA00_phB15.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,No,-9.777305603027344,-9.597713470458984,False
allenai/Molmo-7B-O-0924,obj2_closer,output/phasevar_4/0/0000_phA01_phB00.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,No,-9.75827693939209,-9.568964958190918,False
allenai/Molmo-7B-O-0924,obj2_closer,output/phasevar_4/0/0000_phA01_phB01.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,No,-9.720545768737793,-9.507399559020996,False
allenai/Molmo-7B-O-0924,obj2_closer,output/phasevar_4/0/0000_phA01_phB02.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,No,-9.768913269042969,-9.570286750793457,False
allenai/Molmo-7B-O-0924,obj2_closer,output/phasevar_4/0/0000_phA01_phB03.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,No,-9.807807922363281,-9.64451789855957,False
allenai/Molmo-7B-O-0924,obj2_closer,output/phasevar_4/0/0000_phA01_phB04.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,No,-9.872116088867188,-9.653935432434082,False
allenai/Molmo-7B-O-0924,obj2_closer,output/phasevar_4/0/0000_phA01_phB05.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,No,-9.908902168273926,-9.736546516418457,False
allenai/Molmo-7B-O-0924,obj2_closer,output/phasevar_4/0/0000_phA01_phB06.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,No,-9.814979553222656,-9.596611976623535,False
allenai/Molmo-7B-O-0924,obj2_closer,output/phasevar_4/0/0000_phA01_phB07.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,No,-9.744791030883789,-9.532539367675781,False
allenai/Molmo-7B-O-0924,obj2_closer,output/phasevar_4/0/0000_phA01_phB08.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,No,-9.73338794708252,-9.527811050415039,False
allenai/Molmo-7B-O-0924,obj2_closer,output/phasevar_4/0/0000_phA01_phB09.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,No,-9.879250526428223,-9.490708351135254,False
allenai/Molmo-7B-O-0924,obj2_closer,output/phasevar_4/0/0000_phA01_phB10.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,No,-9.73116397857666,-9.58121109008789,False
allenai/Molmo-7B-O-0924,obj2_closer,output/phasevar_4/0/0000_phA01_phB11.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,Yes,-9.778029441833496,-9.91627025604248,True
allenai/Molmo-7B-O-0924,obj2_closer,output/phasevar_4/0/0000_phA01_phB12.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,No,-9.850140571594238,-9.816301345825195,False
allenai/Molmo-7B-O-0924,obj2_closer,output/phasevar_4/0/0000_phA01_phB13.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,Yes,-9.715940475463867,-9.772601127624512,True
allenai/Molmo-7B-O-0924,obj2_closer,output/phasevar_4/0/0000_phA01_phB14.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,No,-9.671009063720703,-9.570839881896973,False
allenai/Molmo-7B-O-0924,obj2_closer,output/phasevar_4/0/0000_phA01_phB15.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,No,-9.812848091125488,-9.647610664367676,False
allenai/Molmo-7B-O-0924,obj2_closer,output/phasevar_4/0/0000_phA02_phB00.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,No,-9.761223793029785,-9.560588836669922,False
allenai/Molmo-7B-O-0924,obj2_closer,output/phasevar_4/0/0000_phA02_phB01.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,No,-9.709867477416992,-9.484659194946289,False
allenai/Molmo-7B-O-0924,obj2_closer,output/phasevar_4/0/0000_phA02_phB02.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,No,-9.682560920715332,-9.540966033935547,False
allenai/Molmo-7B-O-0924,obj2_closer,output/phasevar_4/0/0000_phA02_phB03.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,No,-9.715691566467285,-9.65529727935791,False
allenai/Molmo-7B-O-0924,obj2_closer,output/phasevar_4/0/0000_phA02_phB04.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,No,-9.755668640136719,-9.647176742553711,False
allenai/Molmo-7B-O-0924,obj2_closer,output/phasevar_4/0/0000_phA02_phB05.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,No,-9.840137481689453,-9.747416496276855,False
allenai/Molmo-7B-O-0924,obj2_closer,output/phasevar_4/0/0000_phA02_phB06.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,No,-9.729572296142578,-9.619872093200684,False
allenai/Molmo-7B-O-0924,obj2_closer,output/phasevar_4/0/0000_phA02_phB07.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,No,-9.729643821716309,-9.603049278259277,False
allenai/Molmo-7B-O-0924,obj2_closer,output/phasevar_4/0/0000_phA02_phB08.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,No,-9.854005813598633,-9.522634506225586,False
allenai/Molmo-7B-O-0924,obj2_closer,output/phasevar_4/0/0000_phA02_phB09.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,No,-9.957529067993164,-9.560251235961914,False
allenai/Molmo-7B-O-0924,obj2_closer,output/phasevar_4/0/0000_phA02_phB10.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,No,-9.800397872924805,-9.651593208312988,False
allenai/Molmo-7B-O-0924,obj2_closer,output/phasevar_4/0/0000_phA02_phB11.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,Yes,-9.846826553344727,-9.990230560302734,True
allenai/Molmo-7B-O-0924,obj2_closer,output/phasevar_4/0/0000_phA02_phB12.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,No,-9.838895797729492,-9.758498191833496,False
allenai/Molmo-7B-O-0924,obj2_closer,output/phasevar_4/0/0000_phA02_phB13.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,Yes,-9.729071617126465,-9.746846199035645,True
allenai/Molmo-7B-O-0924,obj2_closer,output/phasevar_4/0/0000_phA02_phB14.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,No,-9.666259765625,-9.542604446411133,False
allenai/Molmo-7B-O-0924,obj2_closer,output/phasevar_4/0/0000_phA02_phB15.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,No,-9.827139854431152,-9.5757474899292,False
allenai/Molmo-7B-O-0924,obj2_closer,output/phasevar_4/0/0000_phA03_phB00.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,No,-9.73706340789795,-9.434919357299805,False
allenai/Molmo-7B-O-0924,obj2_closer,output/phasevar_4/0/0000_phA03_phB01.png,Is the green sphere closer to the camera than the cyan cube? Answer with yes or no.,Yes,No,-9.801274299621582,-9.566231727600098,False
