model_path,variant,image,question,ground_truth,prediction,Yes_logit,No_logit,correct
/app/DATA/data_scale_exp_800k/unshared,obj1_farther,output/phasevar/0/0000_phA00_phB00.png,Is the blue cube farther from the camera than the magenta sphere? Answer with yes or no.,Yes,Yes,-10.316278457641602,-11.356797218322754,True
/app/DATA/data_scale_exp_800k/unshared,obj1_farther,output/phasevar/0/0000_phA00_phB01.png,Is the blue cube farther from the camera than the magenta sphere? Answer with yes or no.,Yes,Yes,-10.202863693237305,-10.588135719299316,True
/app/DATA/data_scale_exp_800k/unshared,obj1_farther,output/phasevar/0/0000_phA00_phB02.png,Is the blue cube farther from the camera than the magenta sphere? Answer with yes or no.,Yes,Yes,-10.165481567382812,-10.51119327545166,True
/app/DATA/data_scale_exp_800k/unshared,obj1_farther,output/phasevar/0/0000_phA00_phB03.png,Is the blue cube farther from the camera than the magenta sphere? Answer with yes or no.,Yes,Yes,-10.292274475097656,-10.3134765625,True
/app/DATA/data_scale_exp_800k/unshared,obj1_farther,output/phasevar/0/0000_phA00_phB04.png,Is the blue cube farther from the camera than the magenta sphere? Answer with yes or no.,Yes,No,-10.28327465057373,-10.268056869506836,False
/app/DATA/data_scale_exp_800k/unshared,obj1_farther,output/phasevar/0/0000_phA00_phB05.png,Is the blue cube farther from the camera than the magenta sphere? Answer with yes or no.,Yes,Yes,-10.246597290039062,-10.327166557312012,True
/app/DATA/data_scale_exp_800k/unshared,obj1_farther,output/phasevar/0/0000_phA00_phB06.png,Is the blue cube farther from the camera than the magenta sphere? Answer with yes or no.,Yes,Yes,-10.162856101989746,-10.413100242614746,True
/app/DATA/data_scale_exp_800k/unshared,obj1_farther,output/phasevar/0/0000_phA00_phB07.png,Is the blue cube farther from the camera than the magenta sphere? Answer with yes or no.,Yes,Yes,-10.172847747802734,-10.434293746948242,True
/app/DATA/data_scale_exp_800k/unshared,obj1_farther,output/phasevar/0/0000_phA00_phB08.png,Is the blue cube farther from the camera than the magenta sphere? Answer with yes or no.,Yes,Yes,-10.1549654006958,-10.719677925109863,True
/app/DATA/data_scale_exp_800k/unshared,obj1_farther,output/phasevar/0/0000_phA00_phB09.png,Is the blue cube farther from the camera than the magenta sphere? Answer with yes or no.,Yes,Yes,-10.231207847595215,-11.194398880004883,True
/app/DATA/data_scale_exp_800k/unshared,obj1_farther,output/phasevar/0/0000_phA00_phB10.png,Is the blue cube farther from the camera than the magenta sphere? Answer with yes or no.,Yes,Yes,-10.242117881774902,-11.319296836853027,True
