metric	value
mean_p_correct	0.5116418713977391
min_p_correct	0.3368610276289408
max_p_correct	0.6797833058342472
rmse_avg	0.22459633944447488
obj1_top	0.5346578163609739
obj1_bottom	0.50460615456442
obj1_delta_bottom_vs_top	-0.03005166179655383
obj2_top	0.4143400870910118
obj2_bottom	0.6203587918616794
obj2_delta_bottom_vs_top	0.20601870477066764
obj1_right	0.5140429029649036
obj1_left	0.492595667461878
obj1_delta_left_vs_right	-0.02144723550302563
obj2_right	0.49407324279038944
obj2_left	0.5330146532892537
obj2_delta_left_vs_right	0.03894141049886424
o1top_o2bot	0.638295895903906
o1bot_o2top	0.40838535806948995
delta_o1top_o2bot_vs_o1bot_o2top	0.22991053783441606
