model_path,variant,image,question,ground_truth,prediction,Yes_logit,No_logit,correct
allenai/Molmo-7B-O-0924,obj1_farther,output/phasevar_4/0/0000_phA00_phB00.png,Is the cyan cube farther from the camera than the green sphere?,Yes,Yes,-8.970830917358398,-9.149587631225586,True
allenai/Molmo-7B-O-0924,obj1_farther,output/phasevar_4/0/0000_phA00_phB01.png,Is the cyan cube farther from the camera than the green sphere?,Yes,No,-9.158835411071777,-8.831028938293457,False
allenai/Molmo-7B-O-0924,obj1_farther,output/phasevar_4/0/0000_phA00_phB02.png,Is the cyan cube farther from the camera than the green sphere?,Yes,No,-9.222132682800293,-8.879471778869629,False
allenai/Molmo-7B-O-0924,obj1_farther,output/phasevar_4/0/0000_phA00_phB03.png,Is the cyan cube farther from the camera than the green sphere?,Yes,No,-9.194950103759766,-9.001021385192871,False
allenai/Molmo-7B-O-0924,obj1_farther,output/phasevar_4/0/0000_phA00_phB04.png,Is the cyan cube farther from the camera than the green sphere?,Yes,No,-9.267221450805664,-8.96079158782959,False
allenai/Molmo-7B-O-0924,obj1_farther,output/phasevar_4/0/0000_phA00_phB05.png,Is the cyan cube farther from the camera than the green sphere?,Yes,No,-9.236897468566895,-8.978809356689453,False
allenai/Molmo-7B-O-0924,obj1_farther,output/phasevar_4/0/0000_phA00_phB06.png,Is the cyan cube farther from the camera than the green sphere?,Yes,No,-9.362574577331543,-8.922554016113281,False
allenai/Molmo-7B-O-0924,obj1_farther,output/phasevar_4/0/0000_phA00_phB07.png,Is the cyan cube farther from the camera than the green sphere?,Yes,No,-9.309359550476074,-8.940413475036621,False
allenai/Molmo-7B-O-0924,obj1_farther,output/phasevar_4/0/0000_phA00_phB08.png,Is the cyan cube farther from the camera than the green sphere?,Yes,No,-9.232816696166992,-9.096747398376465,False
allenai/Molmo-7B-O-0924,obj1_farther,output/phasevar_4/0/0000_phA00_phB09.png,Is the cyan cube farther from the camera than the green sphere?,Yes,No,-9.286455154418945,-9.226415634155273,False
