model_path,variant,image,question,ground_truth,prediction,Yes_logit,No_logit,correct
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar_4/0/0000_phA00_phB00.png,Is the green sphere farther from the camera than the cyan cube? Answer with yes or no.,No,No,-9.747007369995117,-9.13570785522461,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar_4/0/0000_phA00_phB01.png,Is the green sphere farther from the camera than the cyan cube? Answer with yes or no.,No,No,-9.628355979919434,-9.113646507263184,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar_4/0/0000_phA00_phB02.png,Is the green sphere farther from the camera than the cyan cube? Answer with yes or no.,No,No,-9.773209571838379,-9.10645580291748,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar_4/0/0000_phA00_phB03.png,Is the green sphere farther from the camera than the cyan cube? Answer with yes or no.,No,No,-9.718055725097656,-9.290653228759766,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar_4/0/0000_phA00_phB04.png,Is the green sphere farther from the camera than the cyan cube? Answer with yes or no.,No,No,-9.749065399169922,-9.289308547973633,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar_4/0/0000_phA00_phB05.png,Is the green sphere farther from the camera than the cyan cube? Answer with yes or no.,No,No,-9.680388450622559,-9.296733856201172,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar_4/0/0000_phA00_phB06.png,Is the green sphere farther from the camera than the cyan cube? Answer with yes or no.,No,No,-9.68082332611084,-9.12419605255127,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar_4/0/0000_phA00_phB07.png,Is the green sphere farther from the camera than the cyan cube? Answer with yes or no.,No,No,-9.648409843444824,-9.276531219482422,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar_4/0/0000_phA00_phB08.png,Is the green sphere farther from the camera than the cyan cube? Answer with yes or no.,No,No,-9.588592529296875,-9.2392578125,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar_4/0/0000_phA00_phB09.png,Is the green sphere farther from the camera than the cyan cube? Answer with yes or no.,No,No,-9.737642288208008,-9.000784873962402,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar_4/0/0000_phA00_phB10.png,Is the green sphere farther from the camera than the cyan cube? Answer with yes or no.,No,No,-9.729351043701172,-8.919061660766602,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar_4/0/0000_phA00_phB11.png,Is the green sphere farther from the camera than the cyan cube? Answer with yes or no.,No,No,-9.768184661865234,-9.237351417541504,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar_4/0/0000_phA00_phB12.png,Is the green sphere farther from the camera than the cyan cube? Answer with yes or no.,No,No,-9.86898422241211,-9.301597595214844,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar_4/0/0000_phA00_phB13.png,Is the green sphere farther from the camera than the cyan cube? Answer with yes or no.,No,No,-9.929718017578125,-9.20263385772705,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar_4/0/0000_phA00_phB14.png,Is the green sphere farther from the camera than the cyan cube? Answer with yes or no.,No,No,-9.747082710266113,-8.868742942810059,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar_4/0/0000_phA00_phB15.png,Is the green sphere farther from the camera than the cyan cube? Answer with yes or no.,No,No,-9.841586112976074,-9.110669136047363,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar_4/0/0000_phA01_phB00.png,Is the green sphere farther from the camera than the cyan cube? Answer with yes or no.,No,No,-9.82397174835205,-9.033415794372559,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar_4/0/0000_phA01_phB01.png,Is the green sphere farther from the camera than the cyan cube? Answer with yes or no.,No,No,-9.785134315490723,-9.08088207244873,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar_4/0/0000_phA01_phB02.png,Is the green sphere farther from the camera than the cyan cube? Answer with yes or no.,No,No,-9.81918716430664,-9.040423393249512,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar_4/0/0000_phA01_phB03.png,Is the green sphere farther from the camera than the cyan cube? Answer with yes or no.,No,No,-9.820744514465332,-9.245840072631836,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar_4/0/0000_phA01_phB04.png,Is the green sphere farther from the camera than the cyan cube? Answer with yes or no.,No,No,-9.798005104064941,-9.267191886901855,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar_4/0/0000_phA01_phB05.png,Is the green sphere farther from the camera than the cyan cube? Answer with yes or no.,No,No,-9.79077434539795,-9.33836555480957,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar_4/0/0000_phA01_phB06.png,Is the green sphere farther from the camera than the cyan cube? Answer with yes or no.,No,No,-9.736252784729004,-9.070600509643555,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar_4/0/0000_phA01_phB07.png,Is the green sphere farther from the camera than the cyan cube? Answer with yes or no.,No,No,-9.663191795349121,-9.199613571166992,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar_4/0/0000_phA01_phB08.png,Is the green sphere farther from the camera than the cyan cube? Answer with yes or no.,No,No,-9.688740730285645,-9.131301879882812,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar_4/0/0000_phA01_phB09.png,Is the green sphere farther from the camera than the cyan cube? Answer with yes or no.,No,No,-9.823901176452637,-8.981895446777344,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar_4/0/0000_phA01_phB10.png,Is the green sphere farther from the camera than the cyan cube? Answer with yes or no.,No,No,-9.7857666015625,-8.8441162109375,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar_4/0/0000_phA01_phB11.png,Is the green sphere farther from the camera than the cyan cube? Answer with yes or no.,No,No,-9.857927322387695,-9.22995662689209,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar_4/0/0000_phA01_phB12.png,Is the green sphere farther from the camera than the cyan cube? Answer with yes or no.,No,No,-9.959168434143066,-9.318742752075195,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar_4/0/0000_phA01_phB13.png,Is the green sphere farther from the camera than the cyan cube? Answer with yes or no.,No,No,-10.020552635192871,-9.194438934326172,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar_4/0/0000_phA01_phB14.png,Is the green sphere farther from the camera than the cyan cube? Answer with yes or no.,No,No,-9.852867126464844,-8.864801406860352,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar_4/0/0000_phA01_phB15.png,Is the green sphere farther from the camera than the cyan cube? Answer with yes or no.,No,No,-9.94645881652832,-9.098586082458496,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar_4/0/0000_phA02_phB00.png,Is the green sphere farther from the camera than the cyan cube? Answer with yes or no.,No,No,-9.775918960571289,-8.914334297180176,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar_4/0/0000_phA02_phB01.png,Is the green sphere farther from the camera than the cyan cube? Answer with yes or no.,No,No,-9.712913513183594,-8.977144241333008,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar_4/0/0000_phA02_phB02.png,Is the green sphere farther from the camera than the cyan cube? Answer with yes or no.,No,No,-9.730809211730957,-8.973288536071777,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar_4/0/0000_phA02_phB03.png,Is the green sphere farther from the camera than the cyan cube? Answer with yes or no.,No,No,-9.752346992492676,-9.066431045532227,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar_4/0/0000_phA02_phB04.png,Is the green sphere farther from the camera than the cyan cube? Answer with yes or no.,No,No,-9.681717872619629,-9.102396965026855,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar_4/0/0000_phA02_phB05.png,Is the green sphere farther from the camera than the cyan cube? Answer with yes or no.,No,No,-9.710817337036133,-9.16338062286377,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar_4/0/0000_phA02_phB06.png,Is the green sphere farther from the camera than the cyan cube? Answer with yes or no.,No,No,-9.689107894897461,-9.011919975280762,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar_4/0/0000_phA02_phB07.png,Is the green sphere farther from the camera than the cyan cube? Answer with yes or no.,No,No,-9.60960865020752,-9.086379051208496,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar_4/0/0000_phA02_phB08.png,Is the green sphere farther from the camera than the cyan cube? Answer with yes or no.,No,No,-9.656025886535645,-9.015569686889648,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar_4/0/0000_phA02_phB09.png,Is the green sphere farther from the camera than the cyan cube? Answer with yes or no.,No,No,-9.793961524963379,-8.901079177856445,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar_4/0/0000_phA02_phB10.png,Is the green sphere farther from the camera than the cyan cube? Answer with yes or no.,No,No,-9.792158126831055,-8.807316780090332,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar_4/0/0000_phA02_phB11.png,Is the green sphere farther from the camera than the cyan cube? Answer with yes or no.,No,No,-9.884783744812012,-9.1178560256958,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar_4/0/0000_phA02_phB12.png,Is the green sphere farther from the camera than the cyan cube? Answer with yes or no.,No,No,-9.930078506469727,-9.1466703414917,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar_4/0/0000_phA02_phB13.png,Is the green sphere farther from the camera than the cyan cube? Answer with yes or no.,No,No,-9.937596321105957,-9.030158042907715,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar_4/0/0000_phA02_phB14.png,Is the green sphere farther from the camera than the cyan cube? Answer with yes or no.,No,No,-9.708471298217773,-8.702423095703125,True
