model_path,variant,image,question,ground_truth,prediction,Yes_logit,No_logit,correct
/app/DATA/data_scale_exp_400k/unshared,obj1_farther,output/phasevar_4/0/0000_phA00_phB00.png,Is the cyan cube farther from the camera than the green sphere?,Yes,Yes,-7.856846809387207,-8.864805221557617,True
/app/DATA/data_scale_exp_400k/unshared,obj1_farther,output/phasevar_4/0/0000_phA00_phB01.png,Is the cyan cube farther from the camera than the green sphere?,Yes,Yes,-8.224071502685547,-8.41776180267334,True
/app/DATA/data_scale_exp_400k/unshared,obj1_farther,output/phasevar_4/0/0000_phA00_phB02.png,Is the cyan cube farther from the camera than the green sphere?,Yes,No,-8.404083251953125,-8.181811332702637,False
/app/DATA/data_scale_exp_400k/unshared,obj1_farther,output/phasevar_4/0/0000_phA00_phB03.png,Is the cyan cube farther from the camera than the green sphere?,Yes,No,-8.693467140197754,-8.200790405273438,False
/app/DATA/data_scale_exp_400k/unshared,obj1_farther,output/phasevar_4/0/0000_phA00_phB04.png,Is the cyan cube farther from the camera than the green sphere?,Yes,No,-8.721675872802734,-8.26677417755127,False
/app/DATA/data_scale_exp_400k/unshared,obj1_farther,output/phasevar_4/0/0000_phA00_phB05.png,Is the cyan cube farther from the camera than the green sphere?,Yes,No,-8.522171974182129,-8.347442626953125,False
/app/DATA/data_scale_exp_400k/unshared,obj1_farther,output/phasevar_4/0/0000_phA00_phB06.png,Is the cyan cube farther from the camera than the green sphere?,Yes,No,-8.45389461517334,-8.283388137817383,False
/app/DATA/data_scale_exp_400k/unshared,obj1_farther,output/phasevar_4/0/0000_phA00_phB07.png,Is the cyan cube farther from the camera than the green sphere?,Yes,Yes,-8.307269096374512,-8.51872444152832,True
/app/DATA/data_scale_exp_400k/unshared,obj1_farther,output/phasevar_4/0/0000_phA00_phB08.png,Is the cyan cube farther from the camera than the green sphere?,Yes,Yes,-8.21848201751709,-8.695334434509277,True
/app/DATA/data_scale_exp_400k/unshared,obj1_farther,output/phasevar_4/0/0000_phA00_phB09.png,Is the cyan cube farther from the camera than the green sphere?,Yes,Yes,-7.944730758666992,-9.030364990234375,True
