model_path,variant,image,question,ground_truth,prediction,Yes_logit,No_logit,correct
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar_5/0000_phA00_phB00.png,Is the green sphere farther from the viewer than the cyan cube? Answer with yes or no.,No,No,-9.825878143310547,-9.224847793579102,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar_5/0000_phA00_phB01.png,Is the green sphere farther from the viewer than the cyan cube? Answer with yes or no.,No,No,-9.702832221984863,-9.16830825805664,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar_5/0000_phA00_phB02.png,Is the green sphere farther from the viewer than the cyan cube? Answer with yes or no.,No,No,-9.829485893249512,-9.161680221557617,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar_5/0000_phA00_phB03.png,Is the green sphere farther from the viewer than the cyan cube? Answer with yes or no.,No,No,-9.788934707641602,-9.356761932373047,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar_5/0000_phA00_phB04.png,Is the green sphere farther from the viewer than the cyan cube? Answer with yes or no.,No,No,-9.816858291625977,-9.361289024353027,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar_5/0000_phA00_phB05.png,Is the green sphere farther from the viewer than the cyan cube? Answer with yes or no.,No,No,-9.744989395141602,-9.350611686706543,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar_5/0000_phA00_phB06.png,Is the green sphere farther from the viewer than the cyan cube? Answer with yes or no.,No,No,-9.742642402648926,-9.174766540527344,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar_5/0000_phA00_phB07.png,Is the green sphere farther from the viewer than the cyan cube? Answer with yes or no.,No,No,-9.72736644744873,-9.269031524658203,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar_5/0000_phA00_phB08.png,Is the green sphere farther from the viewer than the cyan cube? Answer with yes or no.,No,No,-9.673079490661621,-9.226631164550781,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar_5/0000_phA00_phB09.png,Is the green sphere farther from the viewer than the cyan cube? Answer with yes or no.,No,No,-9.83739185333252,-9.05438232421875,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar_5/0000_phA00_phB10.png,Is the green sphere farther from the viewer than the cyan cube? Answer with yes or no.,No,No,-9.81762981414795,-9.013313293457031,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar_5/0000_phA00_phB11.png,Is the green sphere farther from the viewer than the cyan cube? Answer with yes or no.,No,No,-9.907868385314941,-9.32062816619873,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar_5/0000_phA00_phB12.png,Is the green sphere farther from the viewer than the cyan cube? Answer with yes or no.,No,No,-10.027751922607422,-9.36967658996582,True
allenai/Molmo-7B-O-0924,obj2_farther,output/phasevar_5/0000_phA00_phB13.png,Is the green sphere farther from the viewer than the cyan cube? Answer with yes or no.,No,No,-10.051692962646484,-9.271817207336426,True
