metric	value
mean_p_correct	0.5027446279798424
min_p_correct	0.34096983100762895
max_p_correct	0.682445887028249
rmse_avg	0.2943784041157167
obj1_top	0.529176401294458
obj1_bottom	0.4902945771770069
obj1_delta_bottom_vs_top	-0.03888182411745106
obj2_top	0.4046021098318267
obj2_bottom	0.6126950691084457
obj2_delta_bottom_vs_top	0.20809295927661903
obj1_right	0.5022400513499707
obj1_left	0.48822065875100334
obj1_delta_left_vs_right	-0.014019392598967395
obj2_right	0.48756145811731344
obj2_left	0.5185836954185895
obj2_delta_left_vs_right	0.031022237301276068
o1top_o2bot	0.6362272444818411
o1bot_o2top	0.3964128356357952
delta_o1top_o2bot_vs_o1bot_o2top	0.23981440884604588
