model_path,variant,image,question,ground_truth,prediction,Yes_logit,No_logit,correct
allenai/Molmo-7B-O-0924,obj1_closer,output/phasevar_4/0/0000_phA00_phB00.png,Is the cyan cube closer to the camera than the green sphere?,No,No,-9.627543449401855,-8.341913223266602,True
allenai/Molmo-7B-O-0924,obj1_closer,output/phasevar_4/0/0000_phA00_phB01.png,Is the cyan cube closer to the camera than the green sphere?,No,No,-9.8001070022583,-8.434392929077148,True
allenai/Molmo-7B-O-0924,obj1_closer,output/phasevar_4/0/0000_phA00_phB02.png,Is the cyan cube closer to the camera than the green sphere?,No,No,-10.003665924072266,-8.484021186828613,True
allenai/Molmo-7B-O-0924,obj1_closer,output/phasevar_4/0/0000_phA00_phB03.png,Is the cyan cube closer to the camera than the green sphere?,No,No,-9.933645248413086,-8.629633903503418,True
allenai/Molmo-7B-O-0924,obj1_closer,output/phasevar_4/0/0000_phA00_phB04.png,Is the cyan cube closer to the camera than the green sphere?,No,No,-10.012779235839844,-8.65798568725586,True
allenai/Molmo-7B-O-0924,obj1_closer,output/phasevar_4/0/0000_phA00_phB05.png,Is the cyan cube closer to the camera than the green sphere?,No,No,-10.025751113891602,-8.662055015563965,True
allenai/Molmo-7B-O-0924,obj1_closer,output/phasevar_4/0/0000_phA00_phB06.png,Is the cyan cube closer to the camera than the green sphere?,No,No,-10.207207679748535,-8.655325889587402,True
allenai/Molmo-7B-O-0924,obj1_closer,output/phasevar_4/0/0000_phA00_phB07.png,Is the cyan cube closer to the camera than the green sphere?,No,No,-10.00616455078125,-8.610739707946777,True
allenai/Molmo-7B-O-0924,obj1_closer,output/phasevar_4/0/0000_phA00_phB08.png,Is the cyan cube closer to the camera than the green sphere?,No,No,-9.929047584533691,-8.592391014099121,True
allenai/Molmo-7B-O-0924,obj1_closer,output/phasevar_4/0/0000_phA00_phB09.png,Is the cyan cube closer to the camera than the green sphere?,No,No,-10.13649845123291,-8.67379379272461,True
allenai/Molmo-7B-O-0924,obj1_closer,output/phasevar_4/0/0000_phA00_phB10.png,Is the cyan cube closer to the camera than the green sphere?,No,No,-10.00195598602295,-8.606542587280273,True
allenai/Molmo-7B-O-0924,obj1_closer,output/phasevar_4/0/0000_phA00_phB11.png,Is the cyan cube closer to the camera than the green sphere?,No,No,-9.975144386291504,-8.746916770935059,True
allenai/Molmo-7B-O-0924,obj1_closer,output/phasevar_4/0/0000_phA00_phB12.png,Is the cyan cube closer to the camera than the green sphere?,No,No,-9.915002822875977,-8.692858695983887,True
allenai/Molmo-7B-O-0924,obj1_closer,output/phasevar_4/0/0000_phA00_phB13.png,Is the cyan cube closer to the camera than the green sphere?,No,No,-9.841412544250488,-8.621877670288086,True
allenai/Molmo-7B-O-0924,obj1_closer,output/phasevar_4/0/0000_phA00_phB14.png,Is the cyan cube closer to the camera than the green sphere?,No,No,-9.944304466247559,-8.379035949707031,True
allenai/Molmo-7B-O-0924,obj1_closer,output/phasevar_4/0/0000_phA00_phB15.png,Is the cyan cube closer to the camera than the green sphere?,No,No,-9.885984420776367,-8.358793258666992,True
allenai/Molmo-7B-O-0924,obj1_closer,output/phasevar_4/0/0000_phA01_phB00.png,Is the cyan cube closer to the camera than the green sphere?,No,No,-9.77270793914795,-8.402695655822754,True
allenai/Molmo-7B-O-0924,obj1_closer,output/phasevar_4/0/0000_phA01_phB01.png,Is the cyan cube closer to the camera than the green sphere?,No,No,-9.8270845413208,-8.431377410888672,True
allenai/Molmo-7B-O-0924,obj1_closer,output/phasevar_4/0/0000_phA01_phB02.png,Is the cyan cube closer to the camera than the green sphere?,No,No,-9.997817993164062,-8.510900497436523,True
allenai/Molmo-7B-O-0924,obj1_closer,output/phasevar_4/0/0000_phA01_phB03.png,Is the cyan cube closer to the camera than the green sphere?,No,No,-9.931574821472168,-8.624994277954102,True
allenai/Molmo-7B-O-0924,obj1_closer,output/phasevar_4/0/0000_phA01_phB04.png,Is the cyan cube closer to the camera than the green sphere?,No,No,-9.909018516540527,-8.68366813659668,True
allenai/Molmo-7B-O-0924,obj1_closer,output/phasevar_4/0/0000_phA01_phB05.png,Is the cyan cube closer to the camera than the green sphere?,No,No,-9.949627876281738,-8.736985206604004,True
allenai/Molmo-7B-O-0924,obj1_closer,output/phasevar_4/0/0000_phA01_phB06.png,Is the cyan cube closer to the camera than the green sphere?,No,No,-10.062421798706055,-8.743914604187012,True
allenai/Molmo-7B-O-0924,obj1_closer,output/phasevar_4/0/0000_phA01_phB07.png,Is the cyan cube closer to the camera than the green sphere?,No,No,-9.948981285095215,-8.636002540588379,True
allenai/Molmo-7B-O-0924,obj1_closer,output/phasevar_4/0/0000_phA01_phB08.png,Is the cyan cube closer to the camera than the green sphere?,No,No,-10.102505683898926,-8.776283264160156,True
allenai/Molmo-7B-O-0924,obj1_closer,output/phasevar_4/0/0000_phA01_phB09.png,Is the cyan cube closer to the camera than the green sphere?,No,No,-10.150813102722168,-8.768451690673828,True
allenai/Molmo-7B-O-0924,obj1_closer,output/phasevar_4/0/0000_phA01_phB10.png,Is the cyan cube closer to the camera than the green sphere?,No,No,-9.904254913330078,-8.62844181060791,True
allenai/Molmo-7B-O-0924,obj1_closer,output/phasevar_4/0/0000_phA01_phB11.png,Is the cyan cube closer to the camera than the green sphere?,No,No,-9.912101745605469,-8.785760879516602,True
allenai/Molmo-7B-O-0924,obj1_closer,output/phasevar_4/0/0000_phA01_phB12.png,Is the cyan cube closer to the camera than the green sphere?,No,No,-9.915045738220215,-8.772650718688965,True
allenai/Molmo-7B-O-0924,obj1_closer,output/phasevar_4/0/0000_phA01_phB13.png,Is the cyan cube closer to the camera than the green sphere?,No,No,-9.7527494430542,-8.643953323364258,True
allenai/Molmo-7B-O-0924,obj1_closer,output/phasevar_4/0/0000_phA01_phB14.png,Is the cyan cube closer to the camera than the green sphere?,No,No,-9.805243492126465,-8.447772979736328,True
allenai/Molmo-7B-O-0924,obj1_closer,output/phasevar_4/0/0000_phA01_phB15.png,Is the cyan cube closer to the camera than the green sphere?,No,No,-9.90500545501709,-8.46981430053711,True
allenai/Molmo-7B-O-0924,obj1_closer,output/phasevar_4/0/0000_phA02_phB00.png,Is the cyan cube closer to the camera than the green sphere?,No,No,-9.739160537719727,-8.329345703125,True
allenai/Molmo-7B-O-0924,obj1_closer,output/phasevar_4/0/0000_phA02_phB01.png,Is the cyan cube closer to the camera than the green sphere?,No,No,-9.521418571472168,-8.26321792602539,True
allenai/Molmo-7B-O-0924,obj1_closer,output/phasevar_4/0/0000_phA02_phB02.png,Is the cyan cube closer to the camera than the green sphere?,No,No,-9.827485084533691,-8.36851692199707,True
allenai/Molmo-7B-O-0924,obj1_closer,output/phasevar_4/0/0000_phA02_phB03.png,Is the cyan cube closer to the camera than the green sphere?,No,No,-9.65990924835205,-8.421855926513672,True
allenai/Molmo-7B-O-0924,obj1_closer,output/phasevar_4/0/0000_phA02_phB04.png,Is the cyan cube closer to the camera than the green sphere?,No,No,-9.723201751708984,-8.547853469848633,True
allenai/Molmo-7B-O-0924,obj1_closer,output/phasevar_4/0/0000_phA02_phB05.png,Is the cyan cube closer to the camera than the green sphere?,No,No,-9.719883918762207,-8.666857719421387,True
allenai/Molmo-7B-O-0924,obj1_closer,output/phasevar_4/0/0000_phA02_phB06.png,Is the cyan cube closer to the camera than the green sphere?,No,No,-9.820453643798828,-8.678226470947266,True
allenai/Molmo-7B-O-0924,obj1_closer,output/phasevar_4/0/0000_phA02_phB07.png,Is the cyan cube closer to the camera than the green sphere?,No,No,-9.483427047729492,-8.524965286254883,True
allenai/Molmo-7B-O-0924,obj1_closer,output/phasevar_4/0/0000_phA02_phB08.png,Is the cyan cube closer to the camera than the green sphere?,No,No,-9.85866641998291,-8.737058639526367,True
allenai/Molmo-7B-O-0924,obj1_closer,output/phasevar_4/0/0000_phA02_phB09.png,Is the cyan cube closer to the camera than the green sphere?,No,No,-9.938674926757812,-8.647406578063965,True
allenai/Molmo-7B-O-0924,obj1_closer,output/phasevar_4/0/0000_phA02_phB10.png,Is the cyan cube closer to the camera than the green sphere?,No,No,-9.871359825134277,-8.546878814697266,True
allenai/Molmo-7B-O-0924,obj1_closer,output/phasevar_4/0/0000_phA02_phB11.png,Is the cyan cube closer to the camera than the green sphere?,No,No,-9.808204650878906,-8.677436828613281,True
allenai/Molmo-7B-O-0924,obj1_closer,output/phasevar_4/0/0000_phA02_phB12.png,Is the cyan cube closer to the camera than the green sphere?,No,No,-9.715568542480469,-8.70331859588623,True
allenai/Molmo-7B-O-0924,obj1_closer,output/phasevar_4/0/0000_phA02_phB13.png,Is the cyan cube closer to the camera than the green sphere?,No,No,-9.574102401733398,-8.523048400878906,True
