metric	value
mean_p_correct	0.5279953730292186
min_p_correct	0.4360824409686442
max_p_correct	0.6432492979078734
rmse_avg	0.11771997543792409
obj1_top	0.5397719889074077
obj1_bottom	0.5405382146865507
obj1_delta_bottom_vs_top	0.0007662257791429816
obj2_top	0.4803488051633472
obj2_bottom	0.5729231641220596
obj2_delta_bottom_vs_top	0.09257435895871235
obj1_right	0.5157985075496005
obj1_left	0.512904252964383
obj1_delta_left_vs_right	-0.002894254585217526
obj2_right	0.5263035683535808
obj2_left	0.5379329325471323
obj2_delta_left_vs_right	0.011629364193551428
o1top_o2bot	0.5755410691758672
o1bot_o2top	0.4859053842434173
delta_o1top_o2bot_vs_o1bot_o2top	0.08963568493244994
