metric	value
mean_p_correct	0.6663995925855133
min_p_correct	0.3827457720837993
max_p_correct	0.8304595308465249
rmse_avg	0.24536410643765388
obj1_top	0.6708520956724875
obj1_bottom	0.68939057416332
obj1_delta_bottom_vs_top	0.018538478490832455
obj2_top	0.6343372212247713
obj2_bottom	0.7335833968615757
obj2_delta_bottom_vs_top	0.09924617563680438
obj1_right	0.6964636302448098
obj1_left	0.596194741855191
obj1_delta_left_vs_right	-0.1002688883896189
obj2_right	0.620801515461778
obj2_left	0.7185323280546365
obj2_delta_left_vs_right	0.09773081259285854
o1top_o2bot	0.7205570158346315
o1bot_o2top	0.6505378118317812
delta_o1top_o2bot_vs_o1bot_o2top	0.07001920400285033
